x,t,u_pred
-1.0,0.0,0.10421998
-0.98994976,0.0,0.102566674
-0.9798995,0.0,0.10101692
-0.9698492,0.0,0.0995671
-0.959799,0.0,0.098212376
-0.94974875,0.0,0.09694795
-0.9396985,0.0,0.09576766
-0.9296482,0.0,0.094665796
-0.919598,0.0,0.09363608
-0.90954775,0.0,0.09267281
-0.8994975,0.0,0.091770105
-0.8894472,0.0,0.09092291
-0.879397,0.0,0.090126656
-0.86934674,0.0,0.08937715
-0.8592965,0.0,0.08867149
-0.8492462,0.0,0.088006936
-0.83919597,0.0,0.08738159
-0.8291457,0.0,0.08679432
-0.8190955,0.0,0.08624497
-0.80904526,0.0,0.08573273
-0.79899496,0.0,0.08525835
-0.7889447,0.0,0.084822215
-0.7788945,0.0,0.08442479
-0.76884425,0.0,0.084066756
-0.75879395,0.0,0.08374876
-0.7487437,0.0,0.08347067
-0.7386935,0.0,0.083232656
-0.72864324,0.0,0.083034106
-0.71859294,0.0,0.08287382
-0.7085427,0.0,0.08275057
-0.69849247,0.0,0.08266178
-0.68844223,0.0,0.08260505
-0.67839193,0.0,0.08257681
-0.6683417,0.0,0.08257318
-0.65829146,0.0,0.08258941
-0.6482412,0.0,0.08262041
-0.6381909,0.0,0.082660824
-0.6281407,0.0,0.08270415
-0.61809045,0.0,0.082744054
-0.6080402,0.0,0.082773894
-0.59799,0.0,0.082786575
-0.5879397,0.0,0.08277461
-0.57788944,0.0,0.08273127
-0.5678392,0.0,0.082649074
-0.55778897,0.0,0.082520664
-0.5477387,0.0,0.0823396
-0.53768843,0.0,0.08209881
-0.5276382,0.0,0.08179194
-0.51758796,0.0,0.08141281
-0.50753766,0.0,0.08095581
-0.49748743,0.0,0.080415405
-0.4874372,0.0,0.07978731
-0.47738692,0.0,0.07906735
-0.46733668,0.0,0.07825187
-0.45728642,0.0,0.07733789
-0.44723618,0.0,0.076323606
-0.43718594,0.0,0.075207524
-0.42713568,0.0,0.07398871
-0.41708544,0.0,0.07266785
-0.40703517,0.0,0.07124561
-0.39698493,0.0,0.06972382
-0.38693467,0.0,0.06810518
-0.37688443,0.0,0.06639267
-0.36683416,0.0,0.06459037
-0.35678393,0.0,0.062703036
-0.34673366,0.0,0.060735624
-0.33668342,0.0,0.05869368
-0.32663316,0.0,0.056583192
-0.31658292,0.0,0.054410454
-0.30653265,0.0,0.05218167
-0.2964824,0.0,0.049903452
-0.28643215,0.0,0.047581665
-0.2763819,0.0,0.045222975
-0.26633167,0.0,0.042833436
-0.2562814,0.0,0.04041874
-0.24623115,0.0,0.03798467
-0.2361809,0.0,0.035536896
-0.22613065,0.0,0.03308047
-0.2160804,0.0,0.030620769
-0.20603015,0.0,0.02816297
-0.1959799,0.0,0.02571223
-0.18592964,0.0,0.023273682
-0.1758794,0.0,0.020853398
-0.16582915,0.0,0.018456612
-0.1557789,0.0,0.016089333
-0.14572865,0.0,0.013757829
-0.1356784,0.0,0.011468068
-0.12562814,0.0,0.009226547
-0.11557789,0.0,0.0070396475
-0.10552764,0.0,0.0049134344
-0.09547739,0.0,0.002853442
-0.085427135,0.0,0.0008651688
-0.07537688,0.0,-0.0010470562
-0.06532663,0.0,-0.002879236
-0.055276383,0.0,-0.004628662
-0.04522613,0.0,-0.0062937792
-0.03517588,0.0,-0.00787366
-0.025125628,0.0,-0.0093688
-0.015075377,0.0,-0.010780444
-0.0050251256,0.0,-0.012111602
0.0050251256,0.0,-0.013365554
0.015075377,0.0,-0.0145469215
0.025125628,0.0,-0.015660563
0.03517588,0.0,-0.016712228
0.04522613,0.0,-0.017707674
0.055276383,0.0,-0.018653406
0.06532663,0.0,-0.019555388
0.07537688,0.0,-0.020419693
0.085427135,0.0,-0.021252168
0.09547739,0.0,-0.022057818
0.10552764,0.0,-0.022841254
0.11557789,0.0,-0.023606645
0.12562814,0.0,-0.024357272
0.1356784,0.0,-0.02509583
0.14572865,0.0,-0.02582399
0.1557789,0.0,-0.026543198
0.16582915,0.0,-0.027253987
