x,t,u_pred
-1.0,0.0,-0.011557214
-0.98994976,0.0,-0.008005723
-0.9798995,0.0,-0.004489571
-0.9698492,0.0,-0.001031667
-0.959799,0.0,0.002345711
-0.94974875,0.0,0.005620774
-0.9396985,0.0,0.008772586
-0.9296482,0.0,0.011781041
-0.919598,0.0,0.0146272145
-0.90954775,0.0,0.017293908
-0.8994975,0.0,0.019764762
-0.8894472,0.0,0.022025954
-0.879397,0.0,0.024064671
-0.86934674,0.0,0.025870565
-0.8592965,0.0,0.027434293
-0.8492462,0.0,0.02874947
-0.83919597,0.0,0.02981067
-0.8291457,0.0,0.03061482
-0.8190955,0.0,0.031160694
-0.80904526,0.0,0.031448778
-0.79899496,0.0,0.0314812
-0.7889447,0.0,0.031262018
-0.7788945,0.0,0.030796777
-0.76884425,0.0,0.030092534
-0.75879395,0.0,0.029158104
-0.7487437,0.0,0.02800291
-0.7386935,0.0,0.026638616
-0.72864324,0.0,0.025077369
-0.71859294,0.0,0.02333299
-0.7085427,0.0,0.021419164
-0.69849247,0.0,0.019351505
-0.68844223,0.0,0.017145671
-0.67839193,0.0,0.014817707
-0.6683417,0.0,0.012384199
-0.65829146,0.0,0.009861635
-0.6482412,0.0,0.007266851
-0.6381909,0.0,0.0046161674
-0.6281407,0.0,0.0019255765
-0.61809045,0.0,-0.0007892586
-0.6080402,0.0,-0.003513392
-0.59799,0.0,-0.006232392
-0.5879397,0.0,-0.008933153
-0.57788944,0.0,-0.011603083
-0.5678392,0.0,-0.0142309815
-0.55778897,0.0,-0.016806807
-0.5477387,0.0,-0.019321602
-0.53768843,0.0,-0.021767676
-0.5276382,0.0,-0.024138771
-0.51758796,0.0,-0.026430134
-0.50753766,0.0,-0.028637808
-0.49748743,0.0,-0.03075948
-0.4874372,0.0,-0.032793593
-0.47738692,0.0,-0.03473982
-0.46733668,0.0,-0.036598716
-0.45728642,0.0,-0.03837159
-0.44723618,0.0,-0.040059622
-0.43718594,0.0,-0.041665386
-0.42713568,0.0,-0.04319052
-0.41708544,0.0,-0.044636924
-0.40703517,0.0,-0.046006147
