x,t,u_pred
-1.0,0.0,-0.023775864
-0.98994976,0.0,-0.023334235
-0.9798995,0.0,-0.022900958
-0.9698492,0.0,-0.022475481
-0.959799,0.0,-0.022056598
-0.94974875,0.0,-0.021642383
-0.9396985,0.0,-0.021230701
-0.9296482,0.0,-0.020818993
-0.919598,0.0,-0.020405713
-0.90954775,0.0,-0.019988775
-0.8994975,0.0,-0.019567024
-0.8894472,0.0,-0.01913948
-0.879397,0.0,-0.018705796
-0.86934674,0.0,-0.018266317
-0.8592965,0.0,-0.017820738
-0.8492462,0.0,-0.017369349
-0.83919597,0.0,-0.016911726
-0.8291457,0.0,-0.016447622
-0.8190955,0.0,-0.015975416
-0.80904526,0.0,-0.015492771
-0.79899496,0.0,-0.014996346
-0.7889447,0.0,-0.014482025
-0.7788945,0.0,-0.013944302
-0.76884425,0.0,-0.013376888
-0.75879395,0.0,-0.0127729885
-0.7487437,0.0,-0.012125727
-0.7386935,0.0,-0.011428762
-0.72864324,0.0,-0.01067597
-0.71859294,0.0,-0.009863924
-0.7085427,0.0,-0.0089902915
-0.69849247,0.0,-0.008055732
-0.68844223,0.0,-0.0070644356
-0.67839193,0.0,-0.006023634
-0.6683417,0.0,-0.0049439073
-0.65829146,0.0,-0.0038386881
-0.6482412,0.0,-0.0027245805
-0.6381909,0.0,-0.0016202535
-0.6281407,0.0,-0.00054474175
-0.61809045,0.0,0.00048175082
-0.6080402,0.0,0.0014403556
-0.59799,0.0,0.002314452
-0.5879397,0.0,0.0030889343
-0.57788944,0.0,0.0037529524
-0.5678392,0.0,0.0042991005
-0.55778897,0.0,0.004723955
-0.5477387,0.0,0.0050276946
-0.53768843,0.0,0.0052139834
-0.5276382,0.0,0.0052895043
-0.51758796,0.0,0.005262999
-0.50753766,0.0,0.0051448755
-0.49748743,0.0,0.0049458873
-0.4874372,0.0,0.004677091
-0.47738692,0.0,0.0043491405
-0.46733668,0.0,0.003971344
-0.45728642,0.0,0.0035527144
-0.44723618,0.0,0.0031002313
-0.43718594,0.0,0.0026210658
-0.42713568,0.0,0.0021203514
-0.41708544,0.0,0.0016035261
-0.40703517,0.0,0.001074559
-0.39698493,0.0,0.0005384274
-0.38693467,0.0,-8.046627e-07
-0.37688443,0.0,-0.0005392432
-0.36683416,0.0,-0.0010730997
-0.35678393,0.0,-0.0015985835
-0.34673366,0.0,-0.00211283
-0.33668342,0.0,-0.002613213
-0.32663316,0.0,-0.0030980296
-0.31658292,0.0,-0.0035663992
-0.30653265,0.0,-0.004017936
-0.2964824,0.0,-0.0044534057
-0.28643215,0.0,-0.0048733577
-0.2763819,0.0,-0.0052796006
-0.26633167,0.0,-0.0056736246
