x,t,u_pred
-1.0,0.0,-0.01903941
-0.98994976,0.0,-0.018575715
-0.9798995,0.0,-0.018101512
-0.9698492,0.0,-0.017619172
-0.959799,0.0,-0.017130094
-0.94974875,0.0,-0.016635919
-0.9396985,0.0,-0.016136939
-0.9296482,0.0,-0.015634777
-0.919598,0.0,-0.015129628
-0.90954775,0.0,-0.014622631
-0.8994975,0.0,-0.014114687
-0.8894472,0.0,-0.013606677
-0.879397,0.0,-0.013099624
-0.86934674,0.0,-0.012594165
-0.8592965,0.0,-0.012090499
-0.8492462,0.0,-0.011588233
-0.83919597,0.0,-0.011086555
-0.8291457,0.0,-0.010583172
-0.8190955,0.0,-0.010075392
-0.80904526,0.0,-0.00955868
-0.79899496,0.0,-0.009028373
-0.7889447,0.0,-0.008477995
-0.7788945,0.0,-0.00790091
-0.76884425,0.0,-0.007289814
-0.75879395,0.0,-0.006637549
-0.7487437,0.0,-0.005937269
-0.7386935,0.0,-0.0051836874
-0.72864324,0.0,-0.004371917
-0.71859294,0.0,-0.0035001282
-0.7085427,0.0,-0.0025685728
-0.69849247,0.0,-0.0015802011
-0.68844223,0.0,-0.00054086
-0.67839193,0.0,0.00054000504
-0.6683417,0.0,0.0016509425
-0.65829146,0.0,0.0027778372
-0.6482412,0.0,0.0039042663
-0.6381909,0.0,0.005012786
-0.6281407,0.0,0.006085716
-0.61809045,0.0,0.0071053356
-0.6080402,0.0,0.008055146
-0.59799,0.0,0.00892112
-0.5879397,0.0,0.009690734
-0.57788944,0.0,0.01035553
-0.5678392,0.0,0.010909439
-0.55778897,0.0,0.011349923
-0.5477387,0.0,0.011677441
-0.53768843,0.0,0.011895202
-0.5276382,0.0,0.012008612
-0.51758796,0.0,0.012024833
-0.50753766,0.0,0.011951514
-0.49748743,0.0,0.011796862
-0.4874372,0.0,0.011569105
-0.47738692,0.0,0.011275474
-0.46733668,0.0,0.010922775
-0.45728642,0.0,0.010516203
-0.44723618,0.0,0.010060823
-0.43718594,0.0,0.009560151
-0.42713568,0.0,0.009018097
-0.41708544,0.0,0.0084381355
-0.40703517,0.0,0.007823118
-0.39698493,0.0,0.0071767014
-0.38693467,0.0,0.0065029813
-0.37688443,0.0,0.0058058994
-0.36683416,0.0,0.00508981
-0.35678393,0.0,0.0043588616
-0.34673366,0.0,0.0036176722
-0.33668342,0.0,0.0028701667
-0.32663316,0.0,0.0021201568
-0.31658292,0.0,0.0013707774
-0.30653265,0.0,0.00062477216
-0.2964824,0.0,-0.00011530891
-0.28643215,0.0,-0.00084761344
-0.2763819,0.0,-0.0015704306
-0.26633167,0.0,-0.0022821426
-0.2562814,0.0,-0.0029809047
-0.24623115,0.0,-0.0036650617
-0.2361809,0.0,-0.0043327156
-0.22613065,0.0,-0.004981503
-0.2160804,0.0,-0.0056085717
-0.20603015,0.0,-0.0062115025
-0.1959799,0.0,-0.0067873094
-0.18592964,0.0,-0.0073329546
-0.1758794,0.0,-0.007845387
-0.16582915,0.0,-0.008322282
-0.1557789,0.0,-0.008760938
-0.14572865,0.0,-0.009159671
-0.1356784,0.0,-0.00951685
-0.12562814,0.0,-0.009831276
-0.11557789,0.0,-0.010102477
-0.10552764,0.0,-0.010330254
-0.09547739,0.0,-0.010514552
-0.085427135,0.0,-0.01065609
-0.07537688,0.0,-0.010755142
-0.06532663,0.0,-0.010812491
-0.055276383,0.0,-0.010828635
-0.04522613,0.0,-0.010804065
-0.03517588,0.0,-0.010739092
-0.025125628,0.0,-0.010633532
-0.015075377,0.0,-0.010486865
-0.0050251256,0.0,-0.010298612
0.0050251256,0.0,-0.01006767
0.015075377,0.0,-0.009792935
0.025125628,0.0,-0.009473061
0.03517588,0.0,-0.009107366
0.04522613,0.0,-0.008694591
0.055276383,0.0,-0.008234801
0.06532663,0.0,-0.0077279676
0.07537688,0.0,-0.007175049
0.085427135,0.0,-0.006577356
0.09547739,0.0,-0.0059377197
0.10552764,0.0,-0.005259039
0.11557789,0.0,-0.0045453254
0.12562814,0.0,-0.0038010087
0.1356784,0.0,-0.0030311253
0.14572865,0.0,-0.0022409316
0.1557789,0.0,-0.0014362223
0.16582915,0.0,-0.00062240474
0.1758794,0.0,0.000194842
0.18592964,0.0,0.0010106582
0.1959799,0.0,0.001819348
0.20603015,0.0,0.0026165973
0.2160804,0.0,0.0033976678
0.22613065,0.0,0.0041585155
0.2361809,0.0,0.0048950166
0.24623115,0.0,0.0056033526
0.2562814,0.0,0.006279991
0.26633167,0.0,0.0069212504
0.2763819,0.0,0.00752382
0.28643215,0.0,0.008084344
0.2964824,0.0,0.008599563
0.30653265,0.0,0.009067113
0.31658292,0.0,0.009484217
0.32663316,0.0,0.009849476
0.33668342,0.0,0.010161949
0.34673366,0.0,0.010421498
0.35678393,0.0,0.010629141
0.36683416,0.0,0.010787128
0.37688443,0.0,0.010898812
0.38693467,0.0,0.010968437
0.39698493,0.0,0.011001489
0.40703517,0.0,0.011004015
0.41708544,0.0,0.010981655
0.42713568,0.0,0.010940557
0.43718594,0.0,0.010885891
0.44723618,0.0,0.010821098
0.45728642,0.0,0.010748932
0.46733668,0.0,0.010669801
0.47738692,0.0,0.010582874
0.4874372,0.0,0.010485886
0.49748743,0.0,0.010375763
0.50753766,0.0,0.010249114
0.51758796,0.0,0.010102572
0.5276382,0.0,0.0099340575
0.53768843,0.0,0.009742375
0.5477387,0.0,0.009528317
0.55778897,0.0,0.00929413
0.5678392,0.0,0.009043431
0.57788944,0.0,0.008781582
0.5879397,0.0,0.008514414
0.59799,0.0,0.008248307
0.6080402,0.0,0.007989578
0.61809045,0.0,0.007743433
0.6281407,0.0,0.0075143967
0.6381909,0.0,0.007305175
0.6482412,0.0,0.007117264
0.65829146,0.0,0.0069499295
0.6683417,0.0,0.0068009123
0.67839193,0.0,0.006666532
0.68844223,0.0,0.0065420438
0.69849247,0.0,0.006421445
0.7085427,0.0,0.0062983334
0.71859294,0.0,0.0061664004
0.72864324,0.0,0.0060194973
0.7386935,0.0,0.005851902
0.7487437,0.0,0.0056590047
0.75879395,0.0,0.0054369736
0.76884425,0.0,0.0051831454
0.7788945,0.0,0.004895808
0.7889447,0.0,0.00457534
0.79899496,0.0,0.00422178
0.80904526,0.0,0.0038372967
0.8190955,0.0,0.0034248289
0.8291457,0.0,0.0029871855
0.83919597,0.0,0.0025287587
0.8492462,0.0,0.002054261
0.8592965,0.0,0.0015683379
0.86934674,0.0,0.0010765363
0.879397,0.0,0.0005841721
0.8894472,0.0,9.692274e-05
0.8994975,0.0,-0.0003792066
0.90954775,0.0,-0.00083800964
0.919598,0.0,-0.0012738425
0.9296482,0.0,-0.0016801376
0.9396985,0.0,-0.0020509977
0.94974875,0.0,-0.0023799967
0.959799,0.0,-0.0026609283
0.9698492,0.0,-0.0028878227
0.9798995,0.0,-0.003054846
0.98994976,0.0,-0.0031559858
1.0,0.0,-0.0031862427
-1.0,0.0050251256,-0.018563645
-0.98994976,0.0050251256,-0.018119914
-0.9798995,0.0050251256,-0.01766965
-0.9698492,0.0050251256,-0.017214576
-0.959799,0.0050251256,-0.016756235
-0.94974875,0.0050251256,-0.016295629
-0.9396985,0.0050251256,-0.015833141
-0.9296482,0.0050251256,-0.015369074
-0.919598,0.0050251256,-0.014904181
-0.90954775,0.0050251256,-0.014438624
-0.8994975,0.0050251256,-0.013972813
-0.8894472,0.0050251256,-0.013507402
-0.879397,0.0050251256,-0.013042698
-0.86934674,0.0050251256,-0.012579078
-0.8592965,0.0050251256,-0.012116166
-0.8492462,0.0050251256,-0.011653436
-0.83919597,0.0050251256,-0.011189742
-0.8291457,0.0050251256,-0.010722676
-0.8190955,0.0050251256,-0.010248942
-0.80904526,0.0050251256,-0.009764595
-0.79899496,0.0050251256,-0.009264378
-0.7889447,0.0050251256,-0.008742223
-0.7788945,0.0050251256,-0.008191058
-0.76884425,0.0050251256,-0.0076043177
-0.75879395,0.0050251256,-0.006974658
-0.7487437,0.0050251256,-0.006295344
-0.7386935,0.0050251256,-0.005560966
-0.72864324,0.0050251256,-0.0047673713
-0.71859294,0.0050251256,-0.003912559
-0.7085427,0.0050251256,-0.0029967893
-0.69849247,0.0050251256,-0.0020235516
-0.68844223,0.0050251256,-0.0009983499
-0.67839193,0.0050251256,6.934814e-05
-0.6683417,0.0050251256,0.0011680145
-0.65829146,0.0050251256,0.0022832397
-0.6482412,0.0050251256,0.003398886
-0.6381909,0.0050251256,0.0044976603
-0.6281407,0.0050251256,0.005561916
-0.61809045,0.0050251256,0.00657396
-0.6080402,0.0050251256,0.0075173937
-0.59799,0.0050251256,0.00837804
-0.5879397,0.0050251256,0.009143494
-0.57788944,0.0050251256,0.009805043
-0.5678392,0.0050251256,0.010356861
-0.55778897,0.0050251256,0.010795966
-0.5477387,0.0050251256,0.011122862
-0.53768843,0.0050251256,0.011340668
-0.5276382,0.0050251256,0.011454582
-0.51758796,0.0050251256,0.01147157
-0.50753766,0.0050251256,0.011399476
-0.49748743,0.0050251256,0.01124669
-0.4874372,0.0050251256,0.011021499
-0.47738692,0.0050251256,0.010731319
-0.46733668,0.0050251256,0.010382956
-0.45728642,0.0050251256,0.009982575
-0.44723618,0.0050251256,0.009535355
-0.43718594,0.0050251256,0.009045149
-0.42713568,0.0050251256,0.008516081
-0.41708544,0.0050251256,0.00795209
-0.40703517,0.0050251256,0.0073562777
-0.39698493,0.0050251256,0.0067327246
-0.38693467,0.0050251256,0.006085043
-0.37688443,0.0050251256,0.005417265
-0.36683416,0.0050251256,0.0047339527
-0.35678393,0.0050251256,0.00403885
-0.34673366,0.0050251256,0.0033360887
-0.33668342,0.0050251256,0.0026292596
-0.32663316,0.0050251256,0.0019216109
-0.31658292,0.0050251256,0.0012161545
-0.30653265,0.0050251256,0.0005149767
-0.2964824,0.0050251256,-0.00017993618
-0.28643215,0.0050251256,-0.0008669747
-0.2763819,0.0050251256,-0.0015452169
-0.26633167,0.0050251256,-0.0022130003
-0.2562814,0.0050251256,-0.002869334
-0.24623115,0.0050251256,-0.0035127755
-0.2361809,0.0050251256,-0.0041414816
-0.22613065,0.0050251256,-0.0047536846
-0.2160804,0.0050251256,-0.0053469483
-0.20603015,0.0050251256,-0.0059187226
-0.1959799,0.0050251256,-0.0064662714
-0.18592964,0.0050251256,-0.00698659
-0.1758794,0.0050251256,-0.0074769016
-0.16582915,0.0050251256,-0.007934675
-0.1557789,0.0050251256,-0.008357154
-0.14572865,0.0050251256,-0.00874242
-0.1356784,0.0050251256,-0.009088678
-0.12562814,0.0050251256,-0.00939472
-0.11557789,0.0050251256,-0.009659475
-0.10552764,0.0050251256,-0.009882627
-0.09547739,0.0050251256,-0.010064406
-0.085427135,0.0050251256,-0.010204839
-0.07537688,0.0050251256,-0.010304289
-0.06532663,0.0050251256,-0.010363575
-0.055276383,0.0050251256,-0.010383191
-0.04522613,0.0050251256,-0.010363562
-0.03517588,0.0050251256,-0.010305002
-0.025125628,0.0050251256,-0.010207901
-0.015075377,0.0050251256,-0.010071434
-0.0050251256,0.0050251256,-0.009895198
0.0050251256,0.0050251256,-0.009678455
0.015075377,0.0050251256,-0.009420035
0.025125628,0.0050251256,-0.009118894
0.03517588,0.0050251256,-0.008773783
0.04522613,0.0050251256,-0.008383958
0.055276383,0.0050251256,-0.007948717
0.06532663,0.0050251256,-0.007468395
0.07537688,0.0050251256,-0.0069430936
0.085427135,0.0050251256,-0.006374428
0.09547739,0.0050251256,-0.005764177
0.10552764,0.0050251256,-0.0051152743
0.11557789,0.0050251256,-0.004430739
0.12562814,0.0050251256,-0.0037148483
0.1356784,0.0050251256,-0.002972139
0.14572865,0.0050251256,-0.0022074431
0.1557789,0.0050251256,-0.0014260206
0.16582915,0.0050251256,-0.0006330982
0.1758794,0.0050251256,0.00016590208
0.18592964,0.0050251256,0.0009658206
0.1959799,0.0050251256,0.0017615836
0.20603015,0.0050251256,0.0025483333
0.2160804,0.0050251256,0.0033214632
0.22613065,0.0050251256,0.0040762406
0.2361809,0.0050251256,0.0048084315
0.24623115,0.0050251256,0.0055139717
0.2562814,0.0050251256,0.006188698
0.26633167,0.0050251256,0.006828489
0.2763819,0.0050251256,0.007429962
0.28643215,0.0050251256,0.007988807
0.2964824,0.0050251256,0.0085019665
0.30653265,0.0050251256,0.00896659
0.31658292,0.0050251256,0.009380238
0.32663316,0.0050251256,0.009740626
0.33668342,0.0050251256,0.010047348
0.34673366,0.0050251256,0.010300096
0.35678393,0.0050251256,0.010500262
0.36683416,0.0050251256,0.01064983
0.37688443,0.0050251256,0.010752521
0.38693467,0.0050251256,0.010812616
0.39698493,0.0050251256,0.0108358795
0.40703517,0.0050251256,0.010828122
0.41708544,0.0050251256,0.010795457
0.42713568,0.0050251256,0.0107440725
0.43718594,0.0050251256,0.010679029
0.44723618,0.0050251256,0.010604549
0.45728642,0.0050251256,0.010522853
0.46733668,0.0050251256,0.010434987
0.47738692,0.0050251256,0.010340202
0.4874372,0.0050251256,0.0102367
0.49748743,0.0050251256,0.01012167
0.50753766,0.0050251256,0.00999153
0.51758796,0.0050251256,0.009843707
0.5276382,0.0050251256,0.009675944
0.53768843,0.0050251256,0.009487582
0.5477387,0.0050251256,0.009279109
0.55778897,0.0050251256,0.00905291
0.5678392,0.0050251256,0.008812569
0.57788944,0.0050251256,0.008563645
0.5879397,0.0050251256,0.008311819
0.59799,0.0050251256,0.008063242
0.6080402,0.0050251256,0.007823732
0.61809045,0.0050251256,0.007598672
0.6281407,0.0050251256,0.0073921494
0.6381909,0.0050251256,0.0072068647
0.6482412,0.0050251256,0.0070436355
0.65829146,0.0050251256,0.0069017466
0.6683417,0.0050251256,0.006778626
0.67839193,0.0050251256,0.006670594
0.68844223,0.0050251256,0.0065721516
0.69849247,0.0050251256,0.0064777024
0.7085427,0.0050251256,0.0063804965
0.71859294,0.0050251256,0.006274039
0.72864324,0.0050251256,0.0061520673
0.7386935,0.0050251256,0.0060087536
0.7487437,0.0050251256,0.0058393124
0.75879395,0.0050251256,0.0056396704
0.76884425,0.0050251256,0.0054070074
0.7788945,0.0050251256,0.0051395036
0.7889447,0.0050251256,0.004837023
0.79899496,0.0050251256,0.004499981
0.80904526,0.0050251256,0.0041299406
0.8190955,0.0050251256,0.0037292968
0.8291457,0.0050251256,0.0033016074
0.83919597,0.0050251256,0.0028506834
0.8492462,0.0050251256,0.0023808498
0.8592965,0.0050251256,0.0018973034
0.86934674,0.0050251256,0.0014051367
0.879397,0.0050251256,0.00091016106
0.8894472,0.0050251256,0.00041818805
0.8994975,0.0050251256,-6.466545e-05
0.90954775,0.0050251256,-0.00053212605
0.919598,0.0050251256,-0.0009778459
0.9296482,0.0050251256,-0.0013952833
0.9396985,0.0050251256,-0.0017781202
0.94974875,0.0050251256,-0.0021197256
0.959799,0.0050251256,-0.0024135318
0.9698492,0.0050251256,-0.0026538149
0.9798995,0.0050251256,-0.002834158
0.98994976,0.0050251256,-0.00294902
1.0,0.0050251256,-0.0029926337
-1.0,0.010050251,-0.018100364
-0.98994976,0.010050251,-0.017675111
-0.9798995,0.010050251,-0.017246554
-0.9698492,0.010050251,-0.016816745
-0.959799,0.010050251,-0.016386284
-0.94974875,0.010050251,-0.015956579
