x,t,u_pred
-1.0,0.0,-0.022038382
-0.98994976,0.0,-0.021803021
-0.9798995,0.0,-0.021563265
-0.9698492,0.0,-0.021321204
-0.959799,0.0,-0.021078542
-0.94974875,0.0,-0.02083645
-0.9396985,0.0,-0.020596452
-0.9296482,0.0,-0.020359889
-0.919598,0.0,-0.020126931
-0.90954775,0.0,-0.019898362
-0.8994975,0.0,-0.01967445
-0.8894472,0.0,-0.019455187
-0.879397,0.0,-0.019240532
-0.86934674,0.0,-0.019029982
-0.8592965,0.0,-0.018823192
-0.8492462,0.0,-0.018619772
-0.83919597,0.0,-0.018418793
-0.8291457,0.0,-0.018220305
-0.8190955,0.0,-0.018023632
-0.80904526,0.0,-0.017828204
-0.79899496,0.0,-0.01763343
-0.7889447,0.0,-0.017439406
-0.7788945,0.0,-0.017245572
-0.76884425,0.0,-0.017051533
-0.75879395,0.0,-0.016857352
-0.7487437,0.0,-0.016662434
-0.7386935,0.0,-0.016466632
-0.72864324,0.0,-0.016269706
-0.71859294,0.0,-0.016071394
-0.7085427,0.0,-0.015871424
-0.69849247,0.0,-0.01566935
-0.68844223,0.0,-0.015464734
-0.67839193,0.0,-0.015257284
-0.6683417,0.0,-0.01504638
-0.65829146,0.0,-0.014831841
-0.6482412,0.0,-0.014613129
-0.6381909,0.0,-0.0143901035
-0.6281407,0.0,-0.014162287
-0.61809045,0.0,-0.01392889
-0.6080402,0.0,-0.01369049
-0.59799,0.0,-0.013446044
-0.5879397,0.0,-0.013195522
-0.57788944,0.0,-0.012938842
-0.5678392,0.0,-0.012675505
-0.55778897,0.0,-0.012405328
-0.5477387,0.0,-0.012128271
-0.53768843,0.0,-0.011843789
-0.5276382,0.0,-0.0115515925
-0.51758796,0.0,-0.011251811
-0.50753766,0.0,-0.010943957
-0.49748743,0.0,-0.010627747
-0.4874372,0.0,-0.010303516
-0.47738692,0.0,-0.009971261
-0.46733668,0.0,-0.009630807
-0.45728642,0.0,-0.009282779
-0.44723618,0.0,-0.008927815
-0.43718594,0.0,-0.008566543
-0.42713568,0.0,-0.008200239
-0.41708544,0.0,-0.0078300685
-0.40703517,0.0,-0.0074574053
-0.39698493,0.0,-0.0070842616
-0.38693467,0.0,-0.0067122243
-0.37688443,0.0,-0.0063435882
-0.36683416,0.0,-0.005980037
-0.35678393,0.0,-0.0056243762
-0.34673366,0.0,-0.005278051
-0.33668342,0.0,-0.0049435496
-0.32663316,0.0,-0.004622195
-0.31658292,0.0,-0.0043158494
-0.30653265,0.0,-0.004025817
-0.2964824,0.0,-0.003753163
-0.28643215,0.0,-0.0034984201
-0.2763819,0.0,-0.003261745
-0.26633167,0.0,-0.0030433014
-0.2562814,0.0,-0.002842538
-0.24623115,0.0,-0.002658926
-0.2361809,0.0,-0.0024910383
-0.22613065,0.0,-0.0023383126
-0.2160804,0.0,-0.0021990314
-0.20603015,0.0,-0.0020720325
-0.1959799,0.0,-0.0019556135
-0.18592964,0.0,-0.0018481426
-0.1758794,0.0,-0.0017484277
-0.16582915,0.0,-0.0016550496
-0.1557789,0.0,-0.0015666857
-0.14572865,0.0,-0.0014817342
-0.1356784,0.0,-0.0013993569
-0.12562814,0.0,-0.0013183542
-0.11557789,0.0,-0.0012376569
-0.10552764,0.0,-0.0011565015
-0.09547739,0.0,-0.0010737516
-0.085427135,0.0,-0.0009887815
-0.07537688,0.0,-0.0009008385
-0.06532663,0.0,-0.0008094646
-0.055276383,0.0,-0.0007139258
-0.04522613,0.0,-0.00061372295
-0.03517588,0.0,-0.00050862134
-0.025125628,0.0,-0.0003980063
-0.015075377,0.0,-0.00028195605
-0.0050251256,0.0,-0.00015978143
0.0050251256,0.0,-3.132224e-05
0.015075377,0.0,0.000103700906
0.025125628,0.0,0.0002458319
0.03517588,0.0,0.0003954582
0.04522613,0.0,0.00055316463
0.055276383,0.0,0.0007196292
0.06532663,0.0,0.00089573115
0.07537688,0.0,0.0010817274
0.085427135,0.0,0.0012789518
0.09547739,0.0,0.0014882609
0.10552764,0.0,0.0017100386
0.11557789,0.0,0.0019454248
0.12562814,0.0,0.0021950267
0.1356784,0.0,0.0024593547
0.14572865,0.0,0.0027388
0.1557789,0.0,0.003033515
0.16582915,0.0,0.0033439584
0.1758794,0.0,0.0036695749
0.18592964,0.0,0.0040102154
0.1959799,0.0,0.004365422
0.20603015,0.0,0.004734449
0.2160804,0.0,0.0051167607
0.22613065,0.0,0.0055111125
0.2361809,0.0,0.0059169456
0.24623115,0.0,0.0063331276
0.2562814,0.0,0.0067586116
0.26633167,0.0,0.0071926415
0.2763819,0.0,0.0076337755
0.28643215,0.0,0.008081391
0.2964824,0.0,0.008534305
0.30653265,0.0,0.008991802
0.31658292,0.0,0.009452809
0.32663316,0.0,0.009916732
0.33668342,0.0,0.010382537
0.34673366,0.0,0.010849325
0.35678393,0.0,0.011316091
