x,y,t,u_pred,k_pred
0.0,0.0,0.0,0.00015041768,0.00032004574
0.015873017,0.0,0.0,9.0351095e-05,0.00031971067
0.031746034,0.0,0.0,4.5647612e-05,0.00031946154
0.04761905,0.0,0.0,2.4011126e-05,0.00031934102
0.06349207,0.0,0.0,3.7571182e-05,0.00031941646
0.07936508,0.0,0.0,0.00010520755,0.00031979353
0.0952381,0.0,0.0,0.00025536655,0.00032063152
0.11111111,0.0,0.0,0.0005329901,0.000322185
0.12698413,0.0,0.0,0.0010074133,0.00032485343
0.14285715,0.0,0.0,0.0017854476,0.00032926488
0.15873016,0.0,0.0,0.0030328685,0.0003364279
0.17460318,0.0,0.0,0.005009001,0.00034799927
0.1904762,0.0,0.0,0.008118188,0.00036673728
0.20634921,0.0,0.0,0.012982687,0.00039726868
0.22222222,0.0,0.0,0.02051594,0.00044712532
0.23809524,0.0,0.0,0.031910423,0.0005274024
0.25396827,0.0,0.0,0.04838914,0.0006519639
0.26984128,0.0,0.0,0.07078407,0.000839178
0.2857143,0.0,0.0,0.099931486,0.0011340206
0.3015873,0.0,0.0,0.13885498,0.0016868897
0.31746033,0.0,0.0,0.18951401,0.0028676612
0.33333334,0.0,0.0,0.24702099,0.0052232966
0.34920636,0.0,0.0,0.3227414,0.010470952
0.36507937,0.0,0.0,0.40789318,0.017423792
0.3809524,0.0,0.0,0.4938545,0.020360393
0.3968254,0.0,0.0,0.58361447,0.016780874
0.41269842,0.0,0.0,0.68152016,0.009538818
0.42857143,0.0,0.0,0.7759039,0.0044870144
0.44444445,0.0,0.0,0.85552716,0.0023581216
0.46031746,0.0,0.0,0.9253261,0.001441773
0.47619048,0.0,0.0,0.9740772,0.0010785847
0.4920635,0.0,0.0,0.9979696,0.0009507911
0.50793654,0.0,0.0,0.99788725,0.0009511891
0.52380955,0.0,0.0,0.9702776,0.0011014909
0.53968257,0.0,0.0,0.9189374,0.0015026643
0.5555556,0.0,0.0,0.8531146,0.0024020765
0.5714286,0.0,0.0,0.7753962,0.004506042
0.5873016,0.0,0.0,0.6806135,0.009601684
0.6031746,0.0,0.0,0.58173704,0.016906962
0.61904764,0.0,0.0,0.49020633,0.020369532
0.63492066,0.0,0.0,0.4024306,0.017043618
0.6507937,0.0,0.0,0.31750804,0.0100397905
0.6666667,0.0,0.0,0.24594863,0.0051668216
0.6825397,0.0,0.0,0.18806699,0.0028241544
0.6984127,0.0,0.0,0.13873376,0.001684782
0.71428573,0.0,0.0,0.099520035,0.0011292932
0.73015875,0.0,0.0,0.069243975,0.00082545326
