epoch,total_loss
1,0.6240823
2,0.5628109
3,0.5437718
4,0.5489804
5,0.54935557
6,0.54077816
7,0.5276996
8,0.5133214
9,0.5032735
10,0.49918172
11,0.4977823
12,0.4966383
13,0.49384403
14,0.4881267
15,0.4811812
16,0.4750015
17,0.4699105
18,0.46614248
19,0.46349397
20,0.46052378
21,0.45648214
22,0.45158398
23,0.44595572
24,0.4402498
25,0.43534386
26,0.43118232
27,0.42739636
28,0.42376035
29,0.41977
30,0.41530162
31,0.41072577
32,0.40620455
33,0.40194386
34,0.3981006
35,0.39438975
36,0.3905983
37,0.38662338
38,0.38235176
39,0.37799823
40,0.3737576
41,0.36966312
42,0.365748
43,0.36183453
44,0.3578174
45,0.3537075
46,0.34950602
47,0.34535974
48,0.34130424
49,0.3373267
50,0.3333667
51,0.3293113
52,0.32517332
53,0.32096046
54,0.31675464
55,0.31256604
56,0.30836272
57,0.30409548
58,0.29972795
59,0.29529697
60,0.29083088
61,0.28636873
62,0.28187397
63,0.2773174
64,0.27266398
65,0.2679426
66,0.26317656
67,0.2583865
68,0.2535441
69,0.24863619
70,0.2436691
71,0.23868847
72,0.23371461
73,0.22875151
74,0.22379339
75,0.2188741
76,0.21403308
77,0.20929596
78,0.20466703
79,0.20016642
80,0.19582833
81,0.19167592
82,0.18771707
83,0.18395856
84,0.18041961
85,0.17710878
86,0.17402454
87,0.17116375
88,0.16852185
89,0.1660881
90,0.16384384
91,0.16176751
92,0.1598306
93,0.15799984
94,0.15624486
95,0.15453093
96,0.1528236
97,0.1511023
98,0.14935279
99,0.14756337
100,0.14573926
101,0.14389856
102,0.14206018
103,0.14024973
104,0.13849723
105,0.13682422
106,0.1352445
107,0.13376565
108,0.1323837
109,0.1310857
110,0.12985444
111,0.12867048
112,0.1275163
113,0.12637866
114,0.12524801
115,0.124120474
116,0.12299575
117,0.12187426
118,0.120758176
119,0.11964953
120,0.11854869
121,0.11745712
122,0.11637682
123,0.11530995
124,0.114260495
125,0.11323304
126,0.11223135
127,0.11125829
128,0.110314175
129,0.109396845
130,0.10850244
131,0.107625976
132,0.10676319
133,0.10591121
134,0.10506894
135,0.104237355
136,0.10341841
137,0.10261435
138,0.1018271
139,0.101057395
140,0.10030478
141,0.09956787
142,0.098844394
143,0.098131955
144,0.09742824
145,0.09673142
146,0.09604007
147,0.095353365
148,0.09467092
149,0.09399253
150,0.09331826
151,0.09264824
152,0.09198255
153,0.091321364
154,0.09066466
155,0.09001239
156,0.089364305
157,0.0887201
158,0.08807933
159,0.08744168
160,0.086806946
161,0.08617508
162,0.08554624
163,0.08492065
164,0.0842986
165,0.083680235
166,0.08306556
167,0.08245453
168,0.081846885
169,0.08124247
170,0.080641046
171,0.080042645
172,0.079447225
173,0.07885519
174,0.07826717
175,0.07768552
176,0.07711542
177,0.076572925
178,0.076095246
179,0.07577079
180,0.07568598
181,0.07565979
182,0.07497199
183,0.0735168
184,0.07265818
185,0.072718725
