step,loss_pde,loss_bc,loss_ic,loss_ic2,loss_u
0,0.00019979688,0.045744162,0.11010106,0.0045469855,0.09920731
100,0.00020494955,0.04095788,0.092531554,0.0008032991,0.09387629
100,0.00020494955,0.04095788,0.092531554,0.0008032991,0.09387629
1100,0.0009891592,0.022475708,0.0093894275,0.0005285742,0.020620277
2100,0.00113423,0.014503977,0.005410082,0.0010180328,0.017789036
3100,0.0006081094,0.0018465802,0.0039320295,0.00027580556,0.0050837193
4100,0.0002238873,0.0016522142,0.0028869042,0.00030974406,0.0038408297
5100,0.00016551412,0.0014172363,0.0026742814,0.00021305901,0.003574697
6100,9.412438e-05,0.0013439406,0.0024821882,0.000104768966,0.003415143
7100,0.00015842122,0.0012123149,0.0024364295,4.6450114e-05,0.0030712201
8100,0.00021880645,0.00089421973,0.002541873,4.7981008e-05,0.0023892727
9100,0.00016960221,0.0007907974,0.002499315,7.986634e-05,0.0017338913
10100,0.0001868394,0.00061756215,0.0021856644,0.000109150846,0.0012037851
11100,0.00024676698,0.0005545529,0.0017583552,0.00011029694,0.0007098578
12100,0.00017618388,0.00057679415,0.0006156766,0.0002655054,0.00041687366
13100,8.346201e-05,0.0004812685,0.0003874451,0.0003098468,0.00031834273
14100,6.5392676e-05,0.00036461945,0.00030421163,0.0002915244,0.00029423178
15100,4.006559e-05,0.00032673855,0.0002654696,0.00029920775,0.00025098538
16100,4.4302917e-05,0.00029286506,0.00024828306,0.000284345,0.00021522486
17100,5.2251246e-05,0.0002598195,0.00020749988,0.00023708885,0.0001760877
18100,6.641691e-05,0.00020494587,0.00016426061,0.00019922998,0.00014059994
19100,7.0750946e-05,0.00015702842,0.00014493958,0.00015807126,0.000109635825
20100,8.644879e-05,0.00010626298,0.00011813361,7.6900295e-05,8.362543e-05
21100,7.2017414e-05,7.363069e-05,7.818972e-05,3.917948e-05,6.336615e-05
22100,4.714028e-05,5.5173226e-05,5.286864e-05,2.1538408e-05,4.751666e-05
23100,3.442672e-05,4.6078636e-05,3.5966885e-05,1.4044057e-05,4.0372972e-05
24100,2.9852185e-05,3.502612e-05,2.73067e-05,6.0921766e-06,2.9975228e-05
25100,2.0774556e-05,2.9377747e-05,2.568061e-05,3.1459695e-06,2.3263012e-05
25601,1.699045e-05,2.8275792e-05,2.486437e-05,3.4708078e-06,2.1257727e-05
