x,y,t,u_pred,k_pred
0.0,0.0,0.0,0.0007894635,0.00077676907
0.015873017,0.0,0.0,0.0010347962,0.0007777738
0.031746034,0.0,0.0,0.00054579973,0.0007757731
0.04761905,0.0,0.0,-3.761053e-05,0.0007733971
0.06349207,0.0,0.0,-0.00047296286,0.0007716319
0.07936508,0.0,0.0,-0.00067585707,0.00077081163
0.0952381,0.0,0.0,-0.0006119609,0.00077106926
0.11111111,0.0,0.0,-0.0002593398,0.00077249703
0.12698413,0.0,0.0,0.00040632486,0.0007752042
0.14285715,0.0,0.0,0.0014305711,0.00077939976
0.15873016,0.0,0.0,0.0028951764,0.0007854658
0.17460318,0.0,0.0,0.0049520135,0.0007941187
0.1904762,0.0,0.0,0.007880509,0.0008067104
0.20634921,0.0,0.0,0.012188733,0.0008258424
0.22222222,0.0,0.0,0.01878959,0.00085662067
0.23809524,0.0,0.0,0.029241383,0.00090926344
0.25396827,0.0,0.0,0.04596311,0.0010047046
0.26984128,0.0,0.0,0.07181865,0.0011851008
0.2857143,0.0,0.0,0.10761815,0.0015223182
0.3015873,0.0,0.0,0.146375,0.0020535092
0.31746033,0.0,0.0,0.18445271,0.0028352218
0.33333334,0.0,0.0,0.25426847,0.0054951576
0.34920636,0.0,0.0,0.3402862,0.012231408
0.36507937,0.0,0.0,0.41482168,0.017720116
0.3809524,0.0,0.0,0.48521632,0.018165236
0.3968254,0.0,0.0,0.56297153,0.0151574155
0.41269842,0.0,0.0,0.6559747,0.011155273
0.42857143,0.0,0.0,0.7620216,0.008030324
0.44444445,0.0,0.0,0.86282784,0.006207086
0.46031746,0.0,0.0,0.93531376,0.005314472
0.47619048,0.0,0.0,0.9732335,0.004941406
0.4920635,0.0,0.0,0.9879628,0.004810463
0.50793654,0.0,0.0,0.9904676,0.0047889063
0.52380955,0.0,0.0,0.9793475,0.004886174
0.53968257,0.0,0.0,0.94266206,0.005237818
0.5555556,0.0,0.0,0.8702797,0.006102323
0.5714286,0.0,0.0,0.7690056,0.007874592
0.5873016,0.0,0.0,0.66167384,0.010946173
0.6031746,0.0,0.0,0.56676215,0.014981965
0.61904764,0.0,0.0,0.48722345,0.018117366
0.63492066,0.0,0.0,0.41646534,0.01778666
0.6507937,0.0,0.0,0.3427804,0.012462726
0.6666667,0.0,0.0,0.25215322,0.005380628
0.6825397,0.0,0.0,0.18149787,0.002762313
0.6984127,0.0,0.0,0.14903969,0.0020984542
0.71428573,0.0,0.0,0.10431188,0.0014859476
0.73015875,0.0,0.0,0.066096246,0.0011412714
0.74603176,0.0,0.0,0.04256469,0.0009840935
0.7619048,0.0,0.0,0.02875501,0.00090670056
0.7777778,0.0,0.0,0.019886196,0.00086191355
0.7936508,0.0,0.0,0.013528287,0.00083194225
0.8095238,0.0,0.0,0.008682072,0.0008102151
