iter,total_loss,loss_u,loss_k
1,0.010346077,0.0024975224,5.3616226e-05
2,0.010331484,0.002545506,5.3129206e-05
3,0.010327553,0.0025278067,5.328206e-05
4,0.010298521,0.002554332,5.3041167e-05
5,0.0103318645,0.0026836172,5.212389e-05
6,0.010282675,0.002596346,5.2704043e-05
7,0.010268691,0.002592464,5.2671196e-05
8,0.010308126,0.0026135712,5.254388e-05
9,0.010264232,0.0025921937,5.2639833e-05
10,0.010241527,0.002583566,5.2535386e-05
11,0.010173701,0.0025526958,5.2135667e-05
12,0.010442594,0.0024895302,5.0686253e-05
13,0.010142868,0.002524588,5.171634e-05
14,0.0100701945,0.002455305,5.143347e-05
15,0.010453522,0.0023507257,5.0811137e-05
16,0.010058217,0.0024230152,5.128987e-05
17,0.009998689,0.0023703529,5.115387e-05
18,0.009903327,0.002176682,5.0722858e-05
19,0.009902244,0.0021944565,5.0756644e-05
20,0.0098676495,0.002175435,5.0575476e-05
21,0.010424337,0.002152134,5.01756e-05
22,0.009867648,0.0021752806,5.057391e-05
23,0.009842144,0.0021682435,5.057391e-05
24,0.009840505,0.002159796,5.0611827e-05
25,0.009820981,0.0021599887,5.0585368e-05
26,0.009793296,0.0021387376,5.0654035e-05
27,0.009813921,0.002065981,5.093951e-05
28,0.009776363,0.0021070861,5.0766834e-05
29,0.009753633,0.002096343,5.0735904e-05
30,0.0097472,0.0020617957,5.0756207e-05
31,0.009732969,0.0020760186,5.0716975e-05
32,0.009695901,0.0020889055,5.0773426e-05
33,0.009739839,0.0021497936,5.1092476e-05
34,0.00967673,0.0021091464,5.087161e-05
35,0.009653116,0.0021148906,5.0776205e-05
36,0.009918239,0.002219856,5.047892e-05
37,0.009652659,0.0021165577,5.0761857e-05
38,0.00961327,0.0020764046,5.0796134e-05
39,0.009835364,0.0019651928,5.1317144e-05
40,0.009607199,0.0020566587,5.082946e-05
41,0.009572893,0.0020504266,5.0945706e-05
42,0.009800512,0.0021263256,5.141667e-05
43,0.0095694885,0.0020508934,5.099683e-05
44,0.009538064,0.0020573507,5.0973475e-05
45,0.00970766,0.0021614986,5.08912e-05
46,0.00953335,0.0020644346,5.09608e-05
47,0.009499508,0.0020373326,5.102859e-05
48,0.009513877,0.0019528907,5.1360243e-05
49,0.009475485,0.001995981,5.1159543e-05
50,0.009394152,0.0020474507,5.113686e-05
51,0.010266165,0.0024313235,5.119901e-05
52,0.009391936,0.0020589738,5.113443e-05
53,0.009344759,0.00205294,5.123723e-05
54,0.009500777,0.0020658611,5.178804e-05
55,0.009331045,0.002050591,5.1336447e-05
56,0.009304363,0.0020315237,5.1350595e-05
57,0.009482736,0.0019946499,5.1424304e-05
58,0.009301646,0.002024438,5.13573e-05
59,0.009272214,0.002034135,5.1368675e-05
60,0.009564363,0.0021285529,5.164065e-05
61,0.009270981,0.0020371897,5.1374376e-05
62,0.009257281,0.0020372702,5.1417454e-05
63,0.009251762,0.0020421005,5.1595434e-05
64,0.009244373,0.0020391124,5.15171e-05
65,0.009210146,0.0020661277,5.1463605e-05
66,0.009211689,0.0021907978,5.1486033e-05
67,0.00918376,0.0021250884,5.1429808e-05
68,0.009947408,0.0023351766,5.108736e-05
69,0.009180555,0.0021281035,5.138922e-05
70,0.00917686,0.0021220278,5.1416293e-05
71,0.009196266,0.002105564,5.154399e-05
72,0.009176251,0.0021188448,5.1432937e-05
73,0.009170251,0.0021180783,5.1420495e-05
74,0.009152456,0.0021154932,5.137104e-05
75,0.0092120115,0.0021140904,5.1130875e-05
76,0.009144129,0.0021132745,5.130759e-05
77,0.009107176,0.0021157628,5.132421e-05
78,0.0095828045,0.0022653423,5.1432835e-05
79,0.009106817,0.002116804,5.1326188e-05
80,0.009090548,0.0021491088,5.119253e-05
81,0.009090165,0.0021442538,5.1209845e-05
82,0.009079922,0.0021425881,5.1213563e-05
83,0.009071911,0.0021396293,5.1234045e-05
84,0.009068675,0.0021399974,5.122582e-05
85,0.009056385,0.0021304607,5.1180206e-05
86,0.009080531,0.0021006742,5.099924e-05
87,0.009051286,0.0021203184,5.1126786e-05
88,0.009032,0.0021036104,5.1059887e-05
89,0.009077525,0.0020470712,5.079735e-05
90,0.009024875,0.0020868578,5.0988874e-05
91,0.009000497,0.0021014712,5.0709084e-05
92,0.008999673,0.0020983424,5.075065e-05
93,0.0089805145,0.0021010165,5.0664086e-05
94,0.008950515,0.0021180364,5.0362967e-05
95,0.008950148,0.0021158915,5.038973e-05
96,0.008910386,0.0020900827,5.0205646e-05
97,0.009174156,0.0020362744,4.9664093e-05
98,0.0089053195,0.0020799283,5.012822e-05
99,0.008880265,0.002065374,5.0088183e-05
100,0.0090114195,0.00206831,4.9951297e-05
101,0.008876324,0.0020596897,5.0065908e-05
102,0.008831006,0.0020374223,4.981108e-05
103,0.008942466,0.0019749333,4.9099603e-05
104,0.008813748,0.0020171585,4.9577506e-05
105,0.008793824,0.0020124034,4.9499715e-05
106,0.00879626,0.0020035934,4.9198203e-05
107,0.008778979,0.002006111,4.935035e-05
108,0.008752476,0.0019973728,4.913276e-05
109,0.008781947,0.001974956,4.8294423e-05
110,0.00873813,0.0019869055,4.8821985e-05
111,0.008721805,0.00198264,4.8777874e-05
112,0.008744161,0.001974716,4.8703692e-05
113,0.00871386,0.001978272,4.8734473e-05
114,0.008720398,0.0020092449,4.8511505e-05
115,0.008707756,0.0019886268,4.8639937e-05
116,0.008703232,0.0019851679,4.8587965e-05
117,0.008706255,0.0019726665,4.8394337e-05
118,0.008700345,0.001979809,4.8506143e-05
119,0.0086847255,0.001987339,4.852058e-05
120,0.008712383,0.0020345275,4.8609785e-05
121,0.0086778635,0.0019989482,4.854278e-05
122,0.0086607225,0.001993651,4.856524e-05
123,0.00893438,0.0020304627,4.871633e-05
124,0.0086607225,0.001993647,4.8565278e-05
125,0.008646249,0.0019972161,4.856986e-05
126,0.008624813,0.0020164496,4.8593745e-05
127,0.008624246,0.0020132745,4.8589856e-05
128,0.008611344,0.002007146,4.849509e-05
129,0.008597761,0.0019866743,4.813867e-05
130,0.008595355,0.0019917751,4.8235386e-05
131,0.008573919,0.0019636927,4.8238442e-05
132,0.008634271,0.001890234,4.8274444e-05
133,0.008567143,0.0019401981,4.8243608e-05
134,0.008546344,0.0019254923,4.8279988e-05
135,0.008631901,0.0018898175,4.842593e-05
136,0.008541904,0.0019161825,4.8306687e-05
137,0.008524267,0.0019053293,4.8267444e-05
138,0.00849401,0.001867629,4.8125596e-05
139,0.00849397,0.0018688341,4.8130303e-05
140,0.008477845,0.001869773,4.8086302e-05
141,0.008498036,0.0018899927,4.7943122e-05
142,0.008469925,0.0018740236,4.802923e-05
143,0.008457594,0.0018685758,4.7986232e-05
144,0.008431431,0.0018499476,4.7848633e-05
145,0.009074535,0.0018758795,4.8165668e-05
146,0.008430985,0.0018483207,4.783752e-05
147,0.008413504,0.0018730646,4.7630572e-05
148,0.008406689,0.001862806,4.7698442e-05
149,0.00839243,0.0018527264,4.7695e-05
150,0.008457463,0.0018407174,4.7706497e-05
151,0.008389708,0.0018475921,4.769408e-05
152,0.008377992,0.0018511856,4.7709895e-05
153,0.008385932,0.0018742594,4.7777452e-05
154,0.008370651,0.0018589543,4.773674e-05
155,0.00834593,0.0018515032,4.7734073e-05
156,0.008388233,0.0018423896,4.7732294e-05
157,0.008334989,0.0018450681,4.7732006e-05
158,0.0083171185,0.00183287,4.7682082e-05
159,0.008344996,0.0017942922,4.7644102e-05
160,0.008308247,0.0018188274,4.7640704e-05
161,0.0082659405,0.0017959772,4.7538142e-05
162,0.008265825,0.0017968182,4.75417e-05
163,0.008239871,0.0017788501,4.766389e-05
164,0.008587949,0.0017891084,4.819134e-05
165,0.008239788,0.0017779992,4.76717e-05
166,0.008214025,0.0017740424,4.7725043e-05
167,0.008198652,0.0017699419,4.7970243e-05
168,0.008187969,0.0017693106,4.786841e-05
169,0.008149374,0.001758225,4.7910013e-05
170,0.008224913,0.0017397158,4.8355803e-05
171,0.008131664,0.0017488289,4.799004e-05
172,0.008099112,0.0017690172,4.7905996e-05
173,0.008350829,0.0019383836,4.7718077e-05
174,0.00809699,0.001778088,4.788063e-05
175,0.0080713695,0.0017901935,4.793458e-05
176,0.00806884,0.0017859886,4.792094e-05
177,0.008056803,0.0017863396,4.7939226e-05
178,0.008083908,0.0017991441,4.8015572e-05
179,0.008052274,0.0017880513,4.795972e-05
180,0.008040467,0.0017771723,4.7977297e-05
181,0.008040438,0.0017776241,4.7976362e-05
182,0.008036256,0.0017757631,4.7979305e-05
183,0.0080326535,0.0017704198,4.7993497e-05
184,0.008031517,0.0017718042,4.7988407e-05
185,0.00802505,0.0017731783,4.798463e-05
186,0.00809739,0.0017959408,4.7973128e-05
187,0.0080249235,0.0017735589,4.7984064e-05
188,0.008017678,0.0017775904,4.7934907e-05
189,0.008045422,0.0017997451,4.7776342e-05
190,0.008015992,0.001781143,4.7899364e-05
191,0.0080125155,0.0017797059,4.7890604e-05
192,0.0080098715,0.0017761188,4.7858153e-05
193,0.0080087315,0.0017770012,4.7869235e-05
194,0.0080032535,0.0017752093,4.7828802e-05
195,0.00798865,0.0017693691,4.7667458e-05
196,0.00809517,0.0017723397,4.6873454e-05
197,0.007985428,0.0017664833,4.7551817e-05
198,0.007963775,0.0017501445,4.7451937e-05
199,0.008029604,0.0017111957,4.7074725e-05
200,0.007957342,0.0017374504,4.7361948e-05
201,0.007954612,0.0017296319,4.739984e-05
202,0.00795182,0.0017322365,4.7379617e-05
203,0.007949089,0.001732028,4.738304e-05
204,0.007942101,0.001731506,4.7397447e-05
205,0.008003235,0.0017366044,4.748632e-05
206,0.007940954,0.0017314384,4.7406513e-05
207,0.007926099,0.0017295532,4.733589e-05
208,0.007950534,0.0017329438,4.7065027e-05
209,0.007919258,0.0017287084,4.7248064e-05
210,0.007911097,0.0017312205,4.7193826e-05
211,0.007898384,0.0017434107,4.697795e-05
