epoch,total_loss,loss_u,loss_k
1,0.6043273,0.080545865,0.0027273993
2,0.5575372,0.10339172,0.0028505921
3,0.5348386,0.09846347,0.002815576
4,0.52180827,0.08497802,0.0027402148
5,0.52264315,0.077885285,0.002646479
6,0.5215431,0.07672622,0.002578642
7,0.5125146,0.07684266,0.002552487
8,0.5017573,0.07770486,0.0025507761
9,0.4939921,0.07953015,0.0025517785
10,0.4881657,0.08109053,0.0025430387
11,0.48171887,0.08094851,0.0025218455
12,0.47497314,0.07910745,0.0024904776
13,0.4701038,0.07675037,0.0024532238
14,0.46789944,0.075034015,0.0024156289
15,0.466759,0.07438876,0.0023830235
16,0.46478224,0.074697025,0.0023575325
17,0.46167874,0.075665444,0.0023368935
18,0.4581134,0.076802775,0.0023166295
19,0.45436388,0.07740555,0.0022928738
20,0.45041078,0.07698506,0.0022637916
21,0.44674504,0.07570993,0.0022297464
22,0.4441604,0.07425671,0.0021930642
23,0.4426865,0.07323275,0.0021574807
24,0.44132432,0.072827116,0.0021266448
25,0.43910927,0.07296112,0.0021020437
26,0.43602085,0.073530346,0.0020822384
27,0.43263036,0.074365795,0.0020641007
28,0.4293019,0.07512795,0.0020446945
29,0.42607135,0.075461276,0.0020224575
30,0.42303425,0.075284086,0.0019974487
31,0.42037967,0.07484654,0.0019709924
32,0.41803133,0.0745076,0.001944961
33,0.41562364,0.07451034,0.0019208107
34,0.41294593,0.07491937,0.001898803
35,0.41015783,0.075622946,0.001877982
36,0.40747535,0.07633632,0.0018568704
37,0.4048799,0.07671147,0.0018343088
38,0.4022668,0.07656755,0.0018099623
39,0.39968684,0.07602965,0.0017843843
40,0.3972593,0.07542157,0.0017587191
41,0.3949624,0.07504102,0.0017341482
42,0.39268097,0.07502754,0.0017112861
43,0.39038736,0.075351976,0.0016898969
44,0.38811642,0.075840905,0.0016691295
45,0.38582674,0.0762396,0.0016480753
46,0.38344866,0.0763562,0.0016262545
47,0.38103116,0.07619577,0.0016037889
48,0.37869623,0.075943954,0.0015812413
49,0.37647232,0.07582043,0.0015592385
50,0.37429017,0.07594218,0.0015380926
51,0.37210542,0.076269165,0.0015176396
52,0.36991712,0.07662313,0.0014973971
53,0.36770543,0.07678188,0.0014768984
54,0.36545885,0.07662782,0.0014559731
55,0.36322945,0.07623712,0.0014348216
56,0.36107448,0.075819165,0.0014138712
57,0.35897923,0.07556905,0.0013935032
58,0.35690123,0.07556004,0.0013738341
59,0.35483548,0.075722605,0.0013546845
60,0.35278678,0.07589476,0.0013357451
61,0.3507405,0.07592872,0.0013168007
62,0.3486988,0.07579651,0.0012978561
63,0.34668568,0.07560231,0.0012790939
64,0.3447025,0.07549012,0.0012607167
65,0.3427328,0.075534776,0.001242795
66,0.34077942,0.07569246,0.0012252319
67,0.33884832,0.07582992,0.0012078508
68,0.33692446,0.07582107,0.0011905318
69,0.3349984,0.07564799,0.0011732888
70,0.3330799,0.07541378,0.0011562391
71,0.3311727,0.075254366,0.0011395024
72,0.32927448,0.075234674,0.0011231139
73,0.32739198,0.07530853,0.0011070165
74,0.32552472,0.07535991,0.0010911245
75,0.32365787,0.07529797,0.0010753947
76,0.3217864,0.07513237,0.001059849
77,0.31991583,0.07495795,0.0010445397
78,0.3180466,0.074865915,0.0010294941
79,0.31617916,0.07486581,0.0010146959
80,0.31431508,0.07487936,0.0010001095
81,0.3124459,0.074808896,0.0009857125
82,0.31056398,0.074625745,0.0009715129
83,0.30867025,0.07439299,0.00095753133
84,0.30676317,0.07419909,0.000943774
85,0.30483928,0.07407244,0.00093023
86,0.30289847,0.07395714,0.00091688865
87,0.3009365,0.07376885,0.0009037536
88,0.2989477,0.073479705,0.00089083484
89,0.29693073,0.07314583,0.00087813026
90,0.29488155,0.07284677,0.0008656206
91,0.29279518,0.07260411,0.00085329055
92,0.29066953,0.07236231,0.0008411491
93,0.28850013,0.07204888,0.0008292203
94,0.2862827,0.07165185,0.0008175126
95,0.2840137,0.071226515,0.000806003
96,0.28168625,0.070824176,0.00079465954
97,0.2792949,0.07042923,0.00078348035
98,0.27683538,0.06997706,0.0007724976
99,0.27430207,0.06943228,0.0007617354
100,0.2716905,0.06883196,0.0007511742
101,0.26899427,0.06823729,0.00074076804
102,0.26620635,0.06765651,0.00073050224
103,0.26332116,0.06703651,0.0007204118
104,0.26033238,0.06633195,0.00071053277
105,0.25723493,0.06556033,0.00070084905
106,0.25402328,0.06476756,0.00069131266
107,0.25069177,0.06395568,0.0006819122
108,0.24723569,0.06307672,0.000672693
109,0.24365047,0.06210036,0.0006636905
110,0.23993388,0.06105544,0.000654876
111,0.23608473,0.059982102,0.00064619805
112,0.23210382,0.058870018,0.00063766335
113,0.22799397,0.05767632,0.0006293284
114,0.22376041,0.056391906,0.00062121125
115,0.2194126,0.055049956,0.00061326567
116,0.21496376,0.053667452,0.0006054648
117,0.21043184,0.052220847,0.00059785554
118,0.20583886,0.05069395,0.00059048686
119,0.2012126,0.04911297,0.00058333145
120,0.19658555,0.047508545,0.0005763416
121,0.19199526,0.0458764,0.0005695465
122,0.1874828,0.044205084,0.000563012
123,0.18309264,0.042516388,0.0005567302
124,0.17887063,0.040845055,0.00055064616
125,0.1748621,0.03920269,0.0005447757
126,0.17110904,0.03759302,0.00053917815
127,0.16764802,0.03604025,0.00053382776
128,0.16450691,0.03457103,0.0005286469
129,0.16170198,0.0331905,0.0005236458
130,0.1592354,0.03189966,0.0005188674
131,0.15709491,0.030711954,0.0005142393
132,0.15525328,0.029635029,0.0005096606
133,0.1536702,0.028662022,0.00050513685
134,0.1522953,0.02778712,0.0005006448
135,0.15107277,0.02700747,0.00049605465
136,0.1499457,0.026314361,0.00049132295
137,0.14885995,0.025698666,0.00048649445
138,0.14776698,0.025155555,0.00048150306
139,0.14662546,0.024680017,0.00047627176
140,0.14540268,0.024267526,0.0004708557
141,0.1440763,0.023916135,0.00046527595
142,0.14263624,0.023624454,0.0004594869
143,0.14108677,0.02339176,0.00045354525
144,0.13944706,0.023217697,0.00044753146
145,0.13774967,0.023100551,0.00044142717
146,0.13603692,0.023038544,0.00043523932
147,0.13435556,0.023030514,0.00042904573
148,0.13275026,0.023073506,0.0004228735
149,0.13125747,0.02316219,0.00041671825
150,0.12990092,0.023289606,0.00041063278
151,0.12868847,0.023445986,0.0004046669
152,0.12761158,0.023618054,0.0003988164
153,0.12664747,0.02379008,0.00039309557
154,0.1257633,0.023944607,0.00038755732
155,0.12492172,0.024063243,0.00038222352
156,0.12408675,0.024129052,0.0003770867
157,0.123229474,0.024129108,0.00037216418
158,0.122331575,0.024055498,0.00036747943
159,0.12138691,0.023905182,0.00036302267
160,0.12040099,0.023680246,0.00035878213
161,0.11938821,0.023388362,0.0003547678
162,0.11836819,0.023041923,0.00035097214
163,0.11736153,0.022656059,0.0003473575
164,0.11638555,0.022247272,0.00034389694
165,0.115451545,0.021832062,0.00034057553
166,0.114563294,0.021424728,0.00033735356
167,0.11371778,0.021037262,0.00033418273
