x,y,t,u,k
0.0,0.0,0.8,-0.016234688,0.0073092147
0.010101010101010102,0.0,0.8,-0.013432257,0.007300239
0.020202020202020204,0.0,0.8,-0.010720961,0.0072915643
0.030303030303030304,0.0,0.8,-0.008105986,0.0072832066
0.04040404040404041,0.0,0.8,-0.0055911466,0.0072751767
0.05050505050505051,0.0,0.8,-0.0031801984,0.007267486
0.06060606060606061,0.0,0.8,-0.0008770153,0.0072601377
0.07070707070707072,0.0,0.8,0.0013148263,0.0072531537
0.08080808080808081,0.0,0.8,0.0033924654,0.007246535
0.09090909090909091,0.0,0.8,0.0053532794,0.0072402917
0.10101010101010102,0.0,0.8,0.0071950033,0.0072344313
0.11111111111111112,0.0,0.8,0.008915313,0.007228958
0.12121212121212122,0.0,0.8,0.0105123,0.007223879
0.13131313131313133,0.0,0.8,0.011984654,0.0072191963
0.14141414141414144,0.0,0.8,0.0133313015,0.0072149164
0.15151515151515152,0.0,0.8,0.014551707,0.007211037
0.16161616161616163,0.0,0.8,0.015645154,0.0072075613
0.17171717171717174,0.0,0.8,0.016611405,0.0072044926
0.18181818181818182,0.0,0.8,0.017451353,0.007201824
0.19191919191919193,0.0,0.8,0.018165477,0.007199553
0.20202020202020204,0.0,0.8,0.018755503,0.0071976804
0.21212121212121213,0.0,0.8,0.019222803,0.0071961964
0.22222222222222224,0.0,0.8,0.019569404,0.0071950937
0.23232323232323235,0.0,0.8,0.019798644,0.0071943672
0.24242424242424243,0.0,0.8,0.019913979,0.007193999
0.25252525252525254,0.0,0.8,0.01991833,0.0071939863
0.26262626262626265,0.0,0.8,0.019816823,0.0071943067
0.27272727272727276,0.0,0.8,0.019614346,0.0071949526
0.2828282828282829,0.0,0.8,0.019316323,0.0071958997
0.29292929292929293,0.0,0.8,0.018928953,0.00719713
0.30303030303030304,0.0,0.8,0.018459268,0.007198623
0.31313131313131315,0.0,0.8,0.017914303,0.0072003524
0.32323232323232326,0.0,0.8,0.017301567,0.007202299
0.33333333333333337,0.0,0.8,0.016629703,0.0072044344
0.3434343434343435,0.0,0.8,0.015906878,0.0072067305
0.3535353535353536,0.0,0.8,0.015142746,0.0072091594
0.36363636363636365,0.0,0.8,0.014346011,0.007211689
0.37373737373737376,0.0,0.8,0.013526805,0.0072142906
0.38383838383838387,0.0,0.8,0.012694724,0.00721694
0.393939393939394,0.0,0.8,0.011859305,0.0072195954
0.4040404040404041,0.0,0.8,0.011030681,0.00722223
0.4141414141414142,0.0,0.8,0.010218568,0.007224814
0.42424242424242425,0.0,0.8,0.009432621,0.0072273123
0.43434343434343436,0.0,0.8,0.008681782,0.0072297016
0.4444444444444445,0.0,0.8,0.007974632,0.0072319494
0.4545454545454546,0.0,0.8,0.0073198155,0.007234038
0.4646464646464647,0.0,0.8,0.0067253187,0.0072359256
0.4747474747474748,0.0,0.8,0.0061976984,0.0072376058
0.48484848484848486,0.0,0.8,0.0057432726,0.007239051
0.494949494949495,0.0,0.8,0.005367823,0.007240242
0.5050505050505051,0.0,0.8,0.005075462,0.007241176
0.5151515151515152,0.0,0.8,0.0048702434,0.007241829
0.5252525252525253,0.0,0.8,0.0047544315,0.007242199
0.5353535353535354,0.0,0.8,0.0047298744,0.007242276
0.5454545454545455,0.0,0.8,0.0047969893,0.0072420635
0.5555555555555556,0.0,0.8,0.0049551204,0.007241558
0.5656565656565657,0.0,0.8,0.005202718,0.007240772
0.5757575757575758,0.0,0.8,0.005536802,0.007239708
0.5858585858585859,0.0,0.8,0.0059542134,0.007238378
0.595959595959596,0.0,0.8,0.0064499453,0.007236801
0.6060606060606061,0.0,0.8,0.00701762,0.0072349967
0.6161616161616162,0.0,0.8,0.007651277,0.0072329775
0.6262626262626263,0.0,0.8,0.008342989,0.0072307796
0.6363636363636365,0.0,0.8,0.009084411,0.0072284215
0.6464646464646465,0.0,0.8,0.009866364,0.0072259353
0.6565656565656566,0.0,0.8,0.010678299,0.0072233505
0.6666666666666667,0.0,0.8,0.01151032,0.0072207027
0.6767676767676768,0.0,0.8,0.0123510435,0.007218033
0.686868686868687,0.0,0.8,0.013188727,0.007215368
0.696969696969697,0.0,0.8,0.014011152,0.0072127543
0.7070707070707072,0.0,0.8,0.014806457,0.007210228
0.7171717171717172,0.0,0.8,0.0155612305,0.007207829
0.7272727272727273,0.0,0.8,0.016263194,0.0072055967
0.7373737373737375,0.0,0.8,0.016898997,0.0072035785
0.7474747474747475,0.0,0.8,0.017455824,0.0072018066
0.7575757575757577,0.0,0.8,0.017920502,0.0072003314
0.7676767676767677,0.0,0.8,0.018279798,0.0071991906
0.7777777777777778,0.0,0.8,0.018521793,0.0071984218
0.787878787878788,0.0,0.8,0.018633075,0.007198068
0.797979797979798,0.0,0.8,0.018601842,0.0071981675
0.8080808080808082,0.0,0.8,0.018415757,0.0071987617
0.8181818181818182,0.0,0.8,0.018063731,0.0071998797
0.8282828282828284,0.0,0.8,0.017534025,0.00720156
0.8383838383838385,0.0,0.8,0.016816087,0.0072038407
0.8484848484848485,0.0,0.8,0.015899427,0.0072067524
0.8585858585858587,0.0,0.8,0.014774747,0.0072103287
0.8686868686868687,0.0,0.8,0.013432153,0.007214596
0.8787878787878789,0.0,0.8,0.0118631795,0.0072195823
0.888888888888889,0.0,0.8,0.010059603,0.0072253197
0.8989898989898991,0.0,0.8,0.00801415,0.007231825
0.9090909090909092,0.0,0.8,0.005719073,0.007239129
0.9191919191919192,0.0,0.8,0.003168501,0.007247248
0.9292929292929294,0.0,0.8,0.00035644323,0.0072562094
