epoch,total_loss,loss_u,loss_k,loss_ic,loss_bc,loss_pde
1,0.23856854,0.07525546,0.0016424123,0.1177168,0.034031942,0.00992194
2,0.21424542,0.05885724,0.0015652872,0.11621118,0.034777816,0.0028339054
3,0.20665929,0.05923785,0.0014786448,0.13132004,0.014460943,0.0001618146
4,0.23864518,0.09382838,0.0013463818,0.122864984,0.020488376,0.000117055344
5,0.21798383,0.06827596,0.001299073,0.11433435,0.030422328,0.0036521174
6,0.20110792,0.05663931,0.0011539639,0.116812885,0.02353797,0.002963792
7,0.20585544,0.06102892,0.0010274779,0.12082308,0.022884946,9.101504e-05
8,0.21270953,0.06988236,0.0010862517,0.118443295,0.022237077,0.0010605531
9,0.21030425,0.06640093,0.00095290074,0.11608293,0.025217306,0.0016501872
10,0.19730805,0.054993965,0.00084932725,0.11757908,0.0230973,0.00078837795
11,0.21123777,0.070653945,0.000804106,0.119033165,0.020072818,0.00067373476
12,0.214225,0.07316992,0.0006984896,0.11624793,0.022966726,0.0011419347
13,0.20855656,0.068758905,0.00064351765,0.11602421,0.021882191,0.0012477428
14,0.20801026,0.070096776,0.00056650955,0.11665733,0.01955,0.001139641
15,0.20298892,0.0637836,0.0005956399,0.11412519,0.023734068,0.00075041526
16,0.20899351,0.07387228,0.00045916162,0.11452511,0.01842805,0.0017088957
17,0.20139375,0.06801728,0.00044080638,0.11383092,0.017670719,0.0014340464
18,0.20092882,0.066575654,0.00048775302,0.11030865,0.022576772,0.0009799892
19,0.2025991,0.07418582,0.0004157661,0.11123397,0.01527767,0.0014858622
20,0.19209729,0.06620438,0.00037585836,0.10827632,0.015881784,0.0013589485
21,0.18211623,0.05867837,0.00043875657,0.104448274,0.017333098,0.0012177305
22,0.17356367,0.054466743,0.00040912325,0.1015515,0.016289338,0.00084696815
23,0.1760472,0.066040024,0.0003528036,0.0996545,0.008075816,0.0019240654
24,0.14527108,0.040864963,0.00034122088,0.09458334,0.008482404,0.000999155
25,0.14120129,0.0430132,0.00030260743,0.08835207,0.008400111,0.001133288
26,0.1331994,0.044109203,0.00030950046,0.08554295,0.0014552766,0.0017824665
27,0.113886744,0.03108522,0.00029982656,0.077457994,0.0030561911,0.0019875134
28,0.107146524,0.029896244,0.00027234774,0.07167259,0.0026888645,0.002616478
29,0.09794717,0.026743298,0.00023660035,0.06667471,0.0011956315,0.0030969318
30,0.08750897,0.019729154,0.00019190578,0.061757527,0.0023899938,0.0034403908
31,0.08315743,0.018977186,0.00015083484,0.05747653,0.0032512653,0.0033016042
32,0.07983169,0.020150661,0.000114436,0.054026708,0.0022636584,0.0032762284
33,0.07290876,0.016954022,9.338215e-05,0.051657163,0.0015453693,0.002658817
34,0.06603666,0.014368537,6.3477746e-05,0.04861147,0.0011278988,0.0018652757
35,0.06065068,0.011614977,6.512932e-05,0.045298252,0.002104553,0.0015677672
36,0.059796568,0.012184284,5.625928e-05,0.04229319,0.0037316442,0.0015311888
37,0.059193205,0.013970282,5.549046e-05,0.039842304,0.0035195034,0.0018056252
38,0.05546277,0.011465633,4.597742e-05,0.037166085,0.004666584,0.002118491
39,0.050936844,0.008672961,4.3006134e-05,0.03663738,0.0028044323,0.0027790666
40,0.05064723,0.009360981,4.480497e-05,0.03642549,0.0022179044,0.0025980514
41,0.049538426,0.009572123,4.2433952e-05,0.0334353,0.004272434,0.0022161356
42,0.04764762,0.007579701,4.5050652e-05,0.03148395,0.0066923355,0.001846591
43,0.047018245,0.008407793,4.976136e-05,0.030834217,0.0060124993,0.0017139737
44,0.046560083,0.010237595,5.1912597e-05,0.030558832,0.0038540151,0.0018577322
45,0.044060137,0.009028235,4.755942e-05,0.029780984,0.0035013931,0.0017019676
46,0.04172792,0.00792566,4.9373906e-05,0.028817195,0.0032568187,0.0016788692
47,0.043804668,0.010175955,4.7083573e-05,0.027021926,0.005030388,0.0015293129
48,0.039051373,0.007341495,5.198676e-05,0.026436133,0.0036104107,0.0016113485
49,0.037520934,0.007023221,5.033024e-05,0.025466109,0.0033420462,0.00163923
50,0.03557224,0.006335394,5.4783282e-05,0.024754576,0.0027821672,0.0016453145
51,0.03425443,0.006179117,5.939625e-05,0.023717858,0.0025907326,0.001707328
52,0.03504642,0.008055062,6.1927036e-05,0.022911362,0.0022970887,0.0017209843
53,0.030451514,0.0046261544,5.3895386e-05,0.022243576,0.001767768,0.0017601198
54,0.030109635,0.00516096,6.759475e-05,0.02117331,0.0019524575,0.0017553122
55,0.028044296,0.002782017,6.71089e-05,0.019837238,0.0035406917,0.0018172411
56,0.029159049,0.0051255226,5.6075278e-05,0.01907723,0.0031351077,0.0017651139
57,0.029283743,0.007068657,5.709481e-05,0.019340212,0.0010880711,0.0017297077
58,0.028858963,0.007288152,6.8287496e-05,0.019187909,0.0005791911,0.0017354228
59,0.026609978,0.005746667,7.2016075e-05,0.01756093,0.0015496835,0.0016806809
60,0.024715036,0.003460405,7.820213e-05,0.016341176,0.0032300681,0.0016051849
61,0.026194176,0.0061981226,6.513889e-05,0.015885573,0.0024968556,0.0015484861
62,0.02435595,0.0057158875,6.4810825e-05,0.015747316,0.0012855956,0.0015423389
63,0.023749255,0.0058583636,6.772415e-05,0.015106467,0.0012537596,0.001462941
64,0.021644473,0.0043368666,6.809903e-05,0.014249445,0.0015937069,0.0013963548
65,0.021060796,0.0046312455,6.4899075e-05,0.013869264,0.0011133271,0.0013820615
66,0.021339267,0.005566214,8.147914e-05,0.013182375,0.0011637784,0.001345422
67,0.020586735,0.005538138,7.517169e-05,0.012570425,0.0010810329,0.0013219682
68,0.019513274,0.0051863696,8.48311e-05,0.011825678,0.001185919,0.001230476
69,0.018316137,0.0046893065,7.954383e-05,0.011212678,0.0010710624,0.001263547
70,0.017089779,0.004262526,6.475627e-05,0.01058939,0.0009615344,0.0012115705
71,0.01603073,0.0037809026,7.878132e-05,0.009844913,0.0011547558,0.0011713788
72,0.01539005,0.0036747868,8.07739e-05,0.009093285,0.0013211528,0.0012200521
73,0.014642145,0.0035957068,7.757322e-05,0.008476122,0.0013617862,0.0011309551
74,0.014035056,0.0039367545,7.323113e-05,0.007896098,0.0010326802,0.0010962919
75,0.01443395,0.0050487705,9.2260074e-05,0.007422505,0.000851928,0.0010184874
76,0.012607725,0.0041287355,9.251478e-05,0.0069249365,0.00046565876,0.0009958805
77,0.011411334,0.0035710656,8.593321e-05,0.0065602385,0.0002956043,0.000898493
78,0.012452852,0.005259423,8.224709e-05,0.0058996617,0.0003327884,0.0008787316
79,0.010645664,0.0040410142,8.1910264e-05,0.005304193,0.00039263174,0.00082591525
80,0.00982929,0.003656048,8.876975e-05,0.0048481305,0.0004817215,0.00075462036
81,0.008776979,0.0031218329,6.74345e-05,0.004436631,0.00041098252,0.0007400976
