x,t,u,k
0.3933933933933934,0.2,0.5840747353630344,0.01736333937469291
0.4964964964964965,0.2,0.9965017597742732,0.00014448961021730925
0.4364364364364364,0.2,0.8024484249427358,0.003209872698435113
0.08408408408408408,0.2,0.00017939441656249713,0.00013524322137139217
0.7787787787787788,0.2,0.021103134583759075,0.0002036989968193545
0.9669669669669669,0.2,1.5736207907389567e-05,0.0001348013578827596
0.6286286286286287,0.2,0.47381374882151817,0.01972758437716955
0.6956956956956957,0.2,0.16749297875018887,0.00219134144867005
0.2732732732732733,0.2,0.08077289755900792,0.0005949398357906091
0.4444444444444444,0.2,0.8421065514745973,0.0019251317795719333
0.35235235235235235,0.2,0.3804898980094299,0.01503046263402463
0.6776776776776777,0.2,0.2407258548769285,0.005213600161266904
0.4134134134134134,0.2,0.685604852129565,0.010041726391971664
0.06706706706706707,0.2,8.554701847287797e-05,0.00013498968208799044
0.7597597597597597,0.2,0.03533795956981628,0.00026647257125828153
0.5055055055055055,0.2,0.9955519366446056,0.00014723841066776092
0.4854854854854855,0.2,0.9860527542242818,0.00017742393019166535
0.7527527527527528,0.2,0.04238742339147089,0.00030347588382558703
0.1931931931931932,0.2,0.009282058599190679,0.00016196910258905198
0.8138138138138138,0.2,0.0074703310957822365,0.0001563001281802336
0.5455455455455456,0.2,0.8891455739802199,0.0009675837626784328
0.8048048048048048,0.2,0.009867522899225531,0.0001638400505456572
0.16316316316316315,0.2,0.0035381683742150348,0.00014460422781686794
0.6686686686686687,0.2,0.2811144826726002,0.007671520837641972
0.8748748748748749,0.2,0.0009165504443982767,0.00013724968154469962
0.8918918918918919,0.2,0.0004770925009710591,0.00013605032447707975
0.4184184184184184,0.2,0.7110912752247862,0.008203342917281841
0.9829829829829829,0.2,5.405229379340595e-06,0.0001347735087500529
0.8208208208208209,0.2,0.005983505189705145,0.00015178144277704905
0.9029029029029029,0.2,0.00030738359931786356,0.00013558968927617317
0.6256256256256256,0.2,0.48873387043314326,0.019949294115848327
0.6236236236236237,0.2,0.49870333242288756,0.019999327472585367
0.7087087087087087,0.2,0.1243219471699859,0.001188928267751576
0.44144144144144143,0.2,0.8273716466970557,0.002345006965675524
0.938938938938939,0.2,6.507803214259672e-05,0.00013493443967931945
0.6926926926926927,0.2,0.17876690034839415,0.0025393755067540853
0.062062062062062065,0.2,6.814820522551879e-05,0.00013494272427148917
0.7337337337337337,0.2,0.0681518676519226,0.0004799257307305425
0.4344344344344344,0.2,0.7923881467601507,0.0036179794471561783
0.8478478478478478,0.2,0.002429391818242336,0.0001414515633509955
0.5335335335335335,0.2,0.93775209809361,0.00043309173506195773
0.22322322322322322,0.2,0.02231465864307971,0.00020847556613913317
0.08208208208208208,0.2,0.0001648039739468,0.00013520377553964845
0.7627627627627628,0.2,0.032645768224787944,0.0002534300868239295
0.7367367367367368,0.2,0.06332594188197528,0.00044133441197185554
0.17717717717717718,0.2,0.005610915585426201,0.00015066761972771123
0.36036036036036034,0.2,0.4195053935069002,0.01756915205475716
0.12412412412412413,0.2,0.0008827729425962039,0.0001371571605474561
0.09009009009009009,0.2,0.00023063153854714917,0.00013538182499000053
0.8178178178178178,0.2,0.006584436037010606,0.00015359345011406973
0.5505505505505506,0.4,0.8574848441639193,0.00155243396207624
0.45245245245245247,0.4,0.8710437739065282,0.0012741287739021392
0.7927927927927928,0.4,0.014520845980723092,0.0001794124549483023
0.8508508508508509,0.4,0.00225831007152781,0.0001409706559203128
0.6506506506506506,0.4,0.38571680493069094,0.015402337753112973
0.4064064064064064,0.4,0.653925623399178,0.01245186390285072
0.29929929929929927,0.4,0.16868317934591098,0.0022262433323146096
0.34434434434434436,0.4,0.36271513830781843,0.013719108040474414
0.988988988988989,0.4,3.4721513877547368e-06,0.0001347682983429577
0.4274274274274274,0.4,0.7541185192230692,0.005497029400414606
0.7517517517517518,0.4,0.04520333119692643,0.00031947766122310896
0.007007007007007007,0.4,2.1082922048376486e-06,0.0001347646223139825
0.5525525525525525,0.4,0.8483263430601996,0.0017666894855580307
0.7537537537537538,0.4,0.04287642033377999,0.0003062029785980637
0.7477477477477478,0.4,0.05022782814968224,0.00034987901423738437
0.23323323323323322,0.4,0.03026570883963495,0.0002423738737186398
0.6376376376376376,0.4,0.44606789282504544,0.018869725830079894
0.0890890890890891,0.4,0.0002309952029409799,0.00013538280921001396
0.45945945945945943,0.4,0.901495979905914,0.0007959267149210803
0.6226226226226226,0.4,0.5164290397778147,0.01989232554998546
0.5955955955955956,0.4,0.6443972426567743,0.013180269807141685
0.7487487487487487,0.4,0.04892287351994304,0.00034174883677450587
0.5495495495495496,0.4,0.8620304618856459,0.001454134919691445
0.26626626626626626,0.4,0.07269438398433137,0.0005188868079611964
0.036036036036036036,0.4,1.989341335307138e-05,0.0001348125658881231
0.13513513513513514,0.4,0.0013722000176664992,0.00013850326429016218
0.43243243243243246,0.4,0.7779157900819742,0.0042673308837333414
0.8218218218218218,0.4,0.005960761222899685,0.00015171324052182432
0.7677677677677678,0.4,0.0294524481646056,0.00023869523760671846
0.13213213213213212,0.4,0.0012300927011933862,0.0001381111980968909
0.5445445445445445,0.4,0.8843320795273051,0.0010423828835675198
0.2132132132132132,0.4,0.017290822456729853,0.00018929838956186922
0.6776776776776777,0.4,0.26376964325506214,0.0065511240433599426
0.07707707707707707,0.4,0.00013926748404531657,0.00013513476155948648
0.7837837837837838,0.4,0.01884563494340315,0.0001950580277060197
0.44244244244244246,0.4,0.8251203384732086,0.0024149234376735803
0.48848848848848847,0.4,0.9863920652271843,0.00017625692473846323
0.8348348348348348,0.4,0.0038970516903015025,0.00014563811001247495
0.03003003003003003,0.4,1.4169898077946095e-05,0.00013479713526134773
0.5555555555555556,0.4,0.834447976791898,0.0021353344595751718
0.1111111111111111,0.4,0.0005574998563394001,0.000136269062708101
0.973973973973974,0.4,1.1117248205486731e-05,0.00013478890595150796
0.7617617617617618,0.4,0.034645361143288166,0.0002630617391970244
0.5635635635635635,0.4,0.7968823912758437,0.003431334280375544
0.23823823823823823,0.4,0.034645361143288145,0.0002630617391970244
0.03403403403403403,0.4,1.781523862625363e-05,0.00013480696293450526
0.27427427427427425,0.4,0.08998598963016484,0.0006931578690720729
0.5355355355355356,0.4,0.9217468704771401,0.0005702524157132206
0.974974974974975,0.4,1.0435447221098175e-05,0.00013478706801947713
0.19019019019019018,0.4,0.008698554574474646,0.00016012349271444436
0.7057057057057057,0.6,0.16581595017590925,0.0021428842252507515
0.1971971971971972,0.6,0.011078978231887096,0.00016777306153151919
0.970970970970971,0.6,1.4330237582547574e-05,0.00013479756751583901
0.7567567567567568,0.6,0.04130465553548816,0.0002975133719979373
0.17317317317317318,0.6,0.00521940578021049,0.0001495051475792749
0.9309309309309309,0.6,0.00010305562201942216,0.0001350369510634408
0.6566566566566566,0.6,0.3721260864137368,0.014421173636471623
0.4344344344344344,0.6,0.7838837694117418,0.003990563236005913
