x,y,u_pred,q_pred
0.0,0.0,0.03888687491416931,15.429618835449219
0.010101010101010102,0.0,0.03670814633369446,12.283884048461914
0.020202020202020204,0.0,0.035141706466674805,8.807337760925293
0.030303030303030304,0.0,0.03409910202026367,5.21518087387085
0.04040404040404041,0.0,0.03341838717460632,1.6321414709091187
0.05050505050505051,0.0,0.03292512893676758,-1.9209935665130615
0.06060606060606061,0.0,0.03247770667076111,-5.436940670013428
0.07070707070707072,0.0,0.031965285539627075,-8.804682731628418
0.08080808080808081,0.0,0.03131461143493652,-11.869409561157227
0.09090909090909091,0.0,0.030502766370773315,-14.534284591674805
0.10101010101010102,0.0,0.029401570558547974,-16.50289535522461
0.11111111111111112,0.0,0.027780652046203613,-17.28847885131836
0.12121212121212122,0.0,0.02549770474433899,-16.754255294799805
0.13131313131313133,0.0,0.02258855104446411,-15.311278343200684
0.14141414141414144,0.0,0.019140809774398804,-13.631206512451172
0.15151515151515152,0.0,0.015218079090118408,-12.08233642578125
0.16161616161616163,0.0,0.010968655347824097,-10.678339958190918
0.17171717171717174,0.0,0.006719738245010376,-9.540227890014648
0.18181818181818182,0.0,0.0029065608978271484,-8.83365535736084
0.19191919191919193,0.0,-6.437301635742188e-05,-8.556625366210938
0.20202020202020204,0.0,-0.0019347965717315674,-8.573896408081055
0.21212121212121213,0.0,-0.0026284456253051758,-8.642786979675293
0.22222222222222224,0.0,-0.0022736787796020508,-8.467552185058594
0.23232323232323235,0.0,-0.0012198984622955322,-7.926272392272949
0.24242424242424243,0.0,0.00011986494064331055,-7.03030252456665
0.25252525252525254,0.0,0.0014591217041015625,-5.724137306213379
0.26262626262626265,0.0,0.0027006566524505615,-3.890840530395508
0.27272727272727276,0.0,0.003861337900161743,-1.5545015335083008
0.2828282828282829,0.0,0.004981309175491333,0.9366754293441772
0.29292929292929293,0.0,0.006125956773757935,2.8990907669067383
0.30303030303030304,0.0,0.007502347230911255,3.4966492652893066
0.31313131313131315,0.0,0.009442806243896484,2.3696250915527344
0.32323232323232326,0.0,0.012204200029373169,0.5577051639556885
0.33333333333333337,0.0,0.01584315299987793,-0.5368613004684448
0.3434343434343435,0.0,0.020351022481918335,-1.2545701265335083
0.3535353535353536,0.0,0.025628238916397095,-2.4087023735046387
0.36363636363636365,0.0,0.031398504972457886,-2.7232465744018555
0.37373737373737376,0.0,0.03723284602165222,-1.258002758026123
0.38383838383838387,0.0,0.0427834689617157,0.7465639114379883
0.393939393939394,0.0,0.047928065061569214,1.8775354623794556
0.4040404040404041,0.0,0.052667468786239624,1.8899496793746948
0.4141414141414142,0.0,0.05695423483848572,1.1897133588790894
0.42424242424242425,0.0,0.060626208782196045,0.012675583362579346
0.43434343434343436,0.0,0.06346693634986877,-1.2965139150619507
0.4444444444444445,0.0,0.06528449058532715,-2.2831435203552246
0.4545454545454546,0.0,0.06589367985725403,-2.715825080871582
0.4646464646464647,0.0,0.06512504816055298,-2.476517677307129
0.4747474747474748,0.0,0.0628717839717865,-1.4362612962722778
0.48484848484848486,0.0,0.05910772085189819,0.3394969701766968
0.494949494949495,0.0,0.05386441946029663,2.437164306640625
0.5050505050505051,0.0,0.04721531271934509,4.407590389251709
0.5151515151515152,0.0,0.03928089141845703,6.102100849151611
0.5252525252525253,0.0,0.030230402946472168,7.621311664581299
0.5353535353535354,0.0,0.020257234573364258,9.138630867004395
0.5454545454545455,0.0,0.0095844566822052,10.809551239013672
0.5555555555555556,0.0,-0.0015026330947875977,12.786693572998047
0.5656565656565657,0.0,-0.012626051902770996,15.092138290405273
0.5757575757575758,0.0,-0.023304224014282227,17.501419067382812
0.5858585858585859,0.0,-0.03298333287239075,19.858623504638672
0.595959595959596,0.0,-0.041116565465927124,22.092628479003906
0.6060606060606061,0.0,-0.04725959897041321,23.878725051879883
0.6161616161616162,0.0,-0.051174283027648926,24.77979278564453
0.6262626262626263,0.0,-0.052798181772232056,24.755815505981445
0.6363636363636365,0.0,-0.05209752917289734,24.161548614501953
0.6464646464646465,0.0,-0.048907071352005005,23.42795753479004
0.6565656565656566,0.0,-0.04295849800109863,22.917400360107422
0.6666666666666667,0.0,-0.03408491611480713,22.694074630737305
0.6767676767676768,0.0,-0.022369056940078735,22.39246368408203
0.686868686868687,0.0,-0.00816887617111206,21.50261688232422
0.696969696969697,0.0,0.007890403270721436,19.64383316040039
0.7070707070707072,0.0,0.024977415800094604,16.60153579711914
0.7171717171717172,0.0,0.042111992835998535,12.457195281982422
0.7272727272727273,0.0,0.05816352367401123,7.852868556976318
0.7373737373737375,0.0,0.0720008909702301,3.781525135040283
0.7474747474747475,0.0,0.08278173208236694,1.3149203062057495
0.7575757575757577,0.0,0.09022453427314758,0.606644868850708
0.7676767676767677,0.0,0.0945342481136322,0.7561540603637695
0.7777777777777778,0.0,0.09610044956207275,0.7976515293121338
0.787878787878788,0.0,0.09530776739120483,0.14273595809936523
0.797979797979798,0.0,0.09237423539161682,-1.164664626121521
0.8080808080808082,0.0,0.08729976415634155,-2.516335964202881
0.8181818181818182,0.0,0.07996565103530884,-3.2677254676818848
0.8282828282828284,0.0,0.07037165760993958,-3.153266429901123
0.8383838383838385,0.0,0.05882278084754944,-2.2388834953308105
0.8484848484848485,0.0,0.045956820249557495,-0.6434847116470337
0.8585858585858587,0.0,0.03274384140968323,1.604209542274475
0.8686868686868687,0.0,0.02042686939239502,4.494598865509033
0.8787878787878789,0.0,0.010280907154083252,7.8239970207214355
0.888888888888889,0.0,0.003274083137512207,10.986797332763672
