x,y,t,u_pred,k_pred
0.0,0.0,0.0,0.0029173791,0.00037253194
0.015873017,0.0,0.0,0.0028482974,0.00037255563
0.031746034,0.0,0.0,0.002738297,0.00037259335
0.04761905,0.0,0.0,0.0024049878,0.00037270784
0.06349207,0.0,0.0,0.001737088,0.00037293832
0.07936508,0.0,0.0,0.0006957054,0.00037329918
0.0952381,0.0,0.0,-0.00068992376,0.00037378236
0.11111111,0.0,0.0,-0.0023222864,0.00037435658
0.12698413,0.0,0.0,-0.0040284097,0.0003749617
0.14285715,0.0,0.0,-0.0055469573,0.000375505
0.15873016,0.0,0.0,-0.006502986,0.00037584943
0.17460318,0.0,0.0,-0.006372452,0.00037580245
0.1904762,0.0,0.0,-0.004439205,0.0003751083
0.20634921,0.0,0.0,0.00023961067,0.00037345776
0.22222222,0.0,0.0,0.008835226,0.000370533
0.23809524,0.0,0.0,0.02265057,0.00036611452
0.25396827,0.0,0.0,0.04286596,0.00036025164
0.26984128,0.0,0.0,0.07013129,0.00035341107
0.2857143,0.0,0.0,0.104258835,0.0003464536
0.3015873,0.0,0.0,0.14454605,0.00034034855
0.31746033,0.0,0.0,0.19106747,0.00033590835
0.33333334,0.0,0.0,0.2461488,0.0003340591
0.34920636,0.0,0.0,0.31390998,0.00033704238
0.36507937,0.0,0.0,0.3964165,0.00035134377
0.3809524,0.0,0.0,0.4894168,0.00039538328
0.3968254,0.0,0.0,0.58419657,0.00049996434
0.41269842,0.0,0.0,0.6746688,0.00064564304
0.42857143,0.0,0.0,0.7602632,0.0007980057
0.44444445,0.0,0.0,0.84176755,0.0008040339
0.46031746,0.0,0.0,0.9151958,0.000659167
0.47619048,0.0,0.0,0.9698703,0.00055529637
0.4920635,0.0,0.0,0.99614835,0.0005152962
0.50793654,0.0,0.0,0.99340725,0.00051916426
0.52380955,0.0,0.0,0.96515465,0.00056318124
0.53968257,0.0,0.0,0.9139112,0.00066187856
0.5555556,0.0,0.0,0.8443196,0.00080030906
0.5714286,0.0,0.0,0.7648854,0.0008048119
0.5873016,0.0,0.0,0.683061,0.0006597225
0.6031746,0.0,0.0,0.5989715,0.0005222993
0.61904764,0.0,0.0,0.50521624,0.000407862
0.63492066,0.0,0.0,0.4001424,0.0003523916
0.6507937,0.0,0.0,0.30260018,0.00033609822
0.6666667,0.0,0.0,0.22792554,0.00033426637
0.6825397,0.0,0.0,0.17248055,0.00033735967
0.6984127,0.0,0.0,0.12931421,0.0003424005
0.71428573,0.0,0.0,0.09552196,0.00034807288
0.73015875,0.0,0.0,0.06994155,0.0003534549
0.74603176,0.0,0.0,0.051061124,0.00035807007
0.7619048,0.0,0.0,0.03717205,0.00036183247
0.7777778,0.0,0.0,0.026864737,0.0003648343
0.7936508,0.0,0.0,0.019140273,0.00036720486
0.8095238,0.0,0.0,0.013316423,0.00036906224
0.82539684,0.0,0.0,0.008919984,0.0003705049
0.84126985,0.0,0.0,0.005609244,0.0003716147
0.85714287,0.0,0.0,0.0031330287,0.00037245775
0.8730159,0.0,0.0,0.0013003647,0.00037308942
0.8888889,0.0,0.0,-3.144145e-05,0.0003735525
0.9047619,0.0,0.0,-0.0009713471,0.00037388114
0.9206349,0.0,0.0,-0.0016003549,0.00037410195
0.93650794,0.0,0.0,-0.001978308,0.00037423492
0.95238096,0.0,0.0,-0.0021471083,0.00037429447
0.96825397,0.0,0.0,-0.0021334589,0.00037428967
0.984127,0.0,0.0,-0.0019479096,0.00037422424
1.0,0.0,0.0,-0.0015852749,0.00037409645
0.0,0.015873017,0.0,0.0028932393,0.00037254023
0.015873017,0.015873017,0.0,0.0028434098,0.00037255758
0.031746034,0.015873017,0.0,0.0027461648,0.00037259085
0.04761905,0.015873017,0.0,0.002419293,0.00037270304
0.06349207,0.015873017,0.0,0.0017543137,0.0003729324
