epoch,total,pde,ic,bc,loss_u,loss_k
1,0.5344029068946838,0.15858575701713562,0.11465930193662643,0.03818678483366966,0.2213250696659088,0.0016460041515529156
2,10.288421630859375,0.7349258661270142,2.0769596099853516,4.120029449462891,3.3543553352355957,0.0021512543316930532
3,0.3087556064128876,0.03629486262798309,0.11540718376636505,0.07070896029472351,0.08457421511411667,0.0017703741323202848
4,0.26619067788124084,0.024638554081320763,0.10499479621648788,0.04713466018438339,0.08766740560531616,0.0017552566714584827
5,0.22502729296684265,0.002687323372811079,0.10414502024650574,0.026538798585534096,0.08991359919309616,0.0017425420228391886
6,0.21757425367832184,0.00027101137675344944,0.10402383655309677,0.025197438895702362,0.0863363966345787,0.0017455652123317122
7,0.21167826652526855,9.453683014726266e-05,0.10201841592788696,0.0243268720805645,0.08349209278821945,0.0017463562544435263
8,0.20990505814552307,0.000492581631988287,0.10007938742637634,0.025491613894701004,0.08209754526615143,0.001743925386108458
9,0.2091711014509201,0.0007220197003334761,0.09923123568296432,0.02618180215358734,0.08129581809043884,0.0017402329249307513
10,0.20638510584831238,0.0017174489330500364,0.09671009331941605,0.027128638699650764,0.07910963147878647,0.001719301682896912
11,0.2015858143568039,0.0041471426375210285,0.09247834980487823,0.027079053223133087,0.0762128233909607,0.0016684384318068624
12,0.19334617257118225,0.005641537718474865,0.08761709183454514,0.027934707701206207,0.07053472101688385,0.001618114416487515
13,0.16798050701618195,0.0137198930606246,0.07517749071121216,0.013267214410007,0.06437759846448898,0.0014383028028532863
14,0.18458379805088043,0.050372034311294556,0.07168065756559372,0.01920594833791256,0.0419677309691906,0.0013574195327237248
15,0.1526566743850708,0.02287776954472065,0.0702255442738533,0.007991975173354149,0.0501566156744957,0.0014047615695744753
16,0.1457003504037857,0.021352365612983704,0.06853293627500534,0.0032959121745079756,0.051142618060112,0.0013765232870355248
17,0.14575836062431335,0.012248795479536057,0.07280459254980087,0.006532199215143919,0.05273403972387314,0.0014387398259714246
18,0.14378155767917633,0.016060149297118187,0.07026299089193344,0.004603174515068531,0.051447898149490356,0.0014073423808440566
