epoch,total_loss,loss_u,loss_k
1,0.24693991,0.07589845,0.0009892071
2,0.22723913,0.07219372,0.0010230346
3,0.23081744,0.07578489,0.0009767751
4,0.22848904,0.08626665,0.0009555716
5,0.21316504,0.06928833,0.0011214264
6,0.21907139,0.07893971,0.0011583874
7,0.19421881,0.060760718,0.0011665798
8,0.19438808,0.064683005,0.0012065661
9,0.20638198,0.080989085,0.0013892093
10,0.18744932,0.06642511,0.0015554911
11,0.18516311,0.06949108,0.0016863123
12,0.16716585,0.06029708,0.001952956
13,0.15017436,0.049547743,0.0019583877
14,0.13336426,0.038047798,0.0017504186
15,0.12979797,0.039926548,0.0016307739
16,0.11611661,0.032319274,0.0012733876
17,0.10876739,0.028526954,0.0011928182
18,0.11297017,0.03252328,0.0010141926
19,0.10641761,0.030073294,0.00080562336
20,0.09485973,0.021567807,0.0005896809
21,0.10340535,0.032374352,0.00053379574
22,0.089266926,0.021062164,0.00038654768
23,0.08675715,0.020935673,0.0003333988
24,0.08255428,0.018605303,0.00027908993
25,0.08635697,0.024321008,0.0002485943
26,0.079239145,0.01889341,0.00020379684
27,0.08605996,0.02714869,0.00020432845
28,0.079076044,0.02202991,0.00017321036
29,0.07202331,0.016282877,0.00014610581
30,0.077175185,0.02120517,0.00013766008
31,0.07419947,0.018901022,0.00011792537
32,0.07172573,0.017694835,0.00010963848
33,0.064486794,0.012607997,8.6273954e-05
34,0.058809053,0.009201776,7.9922036e-05
35,0.07106589,0.022828188,0.000105195904
36,0.06087525,0.014367472,7.787045e-05
37,0.057938933,0.012986064,7.255458e-05
38,0.056133047,0.012330697,7.7404926e-05
39,0.05912646,0.01581443,8.151875e-05
40,0.055008702,0.0127365375,7.153498e-05
41,0.051522177,0.00901021,6.269923e-05
42,0.05167324,0.0089628305,6.574256e-05
43,0.05099292,0.009878853,6.207621e-05
44,0.052584764,0.015439752,6.672989e-05
45,0.046275534,0.01090307,5.8528738e-05
46,0.043820336,0.009466533,5.9632657e-05
47,0.04397193,0.010443802,6.3248335e-05
48,0.03916151,0.005824188,5.5424098e-05
49,0.04076181,0.007985578,5.92237e-05
50,0.039281208,0.0071047232,5.339164e-05
51,0.03776245,0.006851281,5.8591635e-05
52,0.036032047,0.006081845,5.3775282e-05
53,0.03651487,0.008014846,5.524201e-05
54,0.035355315,0.0077900873,5.6478657e-05
55,0.032598123,0.0061111604,5.6136738e-05
56,0.031023577,0.005167858,5.846412e-05
57,0.03279674,0.007507422,5.989762e-05
58,0.029818825,0.0052661235,6.111835e-05
59,0.03103472,0.00715173,5.8721816e-05
60,0.0323758,0.008742158,6.689608e-05
61,0.028636876,0.00581056,6.581648e-05
62,0.029440168,0.0072619794,6.18944e-05
63,0.026375182,0.0046347217,7.358011e-05
64,0.025975125,0.0044353926,7.310078e-05
65,0.027683716,0.0070691705,6.1594284e-05
66,0.025731668,0.0055930377,6.2530686e-05
67,0.026120245,0.0065117716,6.208973e-05
68,0.026259774,0.0070593334,6.8434856e-05
69,0.024530757,0.0059597613,6.389046e-05
70,0.02425434,0.00624761,6.135866e-05
71,0.02262448,0.0045336,6.0832597e-05
72,0.022501232,0.0045694318,7.3147894e-05
73,0.022978732,0.004749522,6.3595304e-05
74,0.023307577,0.0064419615,6.9074886e-05
75,0.02065051,0.005023727,7.96091e-05
76,0.019566305,0.004577569,6.531491e-05
77,0.020415457,0.0050502806,6.79026e-05
78,0.018330192,0.0039178557,7.2778224e-05
79,0.017923199,0.0043952293,6.510258e-05
80,0.01807007,0.005045444,7.175886e-05
81,0.017619798,0.00503433,7.0596456e-05
82,0.017597709,0.005849096,6.152273e-05
83,0.01593146,0.0047138184,7.960801e-05
84,0.015020549,0.004780493,8.101262e-05
85,0.013801713,0.004179247,7.4230076e-05
86,0.0143813025,0.0051514423,8.470399e-05
87,0.013277221,0.0047974605,8.164856e-05
88,0.012367798,0.0041941665,7.599703e-05
89,0.011670386,0.0040130005,7.3488314e-05
90,0.011126906,0.003847605,8.1232894e-05
91,0.010269601,0.0036500448,6.7222325e-05
92,0.010436218,0.0040109693,7.3717616e-05
93,0.010446236,0.00448057,7.8159894e-05
94,0.010322449,0.0047254884,9.024636e-05
95,0.010117015,0.004868328,7.738149e-05
96,0.009718327,0.004652583,6.4615844e-05
97,0.007916234,0.0030286908,7.12706e-05
98,0.009331587,0.004698161,7.301815e-05
99,0.0078839315,0.0033734662,6.5248205e-05
100,0.008963143,0.0046092374,7.631009e-05
101,0.008423066,0.0041996897,7.583948e-05
102,0.008647808,0.004550827,8.0466525e-05
103,0.008574345,0.004469937,5.6737732e-05
104,0.008892391,0.0045722728,7.5670534e-05
105,0.008574476,0.0044901175,7.81496e-05
106,0.0073604546,0.0035425418,8.001193e-05
